index,main_source_wheat_asking_for_help_from_others,main_source_wheat_bought_on_credit,main_source_wheat_bought_through_battering,main_source_wheat_bought_using_cash,main_source_wheat_fishing__hunting__gathering,main_source_wheat_food_assistance_government__charity,main_source_wheat_from_employer,main_source_wheat_gifts_friends__neighbours__relatives,main_source_wheat_other_specify,main_source_wheat_own_production_garden__livestock,main_source_wheat_received_as_in-kind_payment,main_source_other_asking_for_help_from_others,main_source_other_bought_on_credit,main_source_other_bought_through_battering,main_source_other_bought_using_cash,main_source_other_fishing__hunting__gathering,main_source_other_food_assistance_government__charity,main_source_other_from_employer,main_source_other_gifts_friends__neighbours__relatives,main_source_other_other_specify,main_source_other_own_production_garden__livestock,main_source_other_received_as_in-kind_payment,main_source_rice_asking_for_help_from_others,main_source_rice_bought_on_credit,main_source_rice_bought_through_battering,main_source_rice_bought_using_cash,main_source_rice_fishing__hunting__gathering,main_source_rice_food_assistance_government__charity,main_source_rice_from_employer,main_source_rice_gifts_friends__neighbours__relatives,main_source_rice_other_specify,main_source_rice_own_production_garden__livestock,main_source_rice_received_as_in-kind_payment,main_source_oil_asking_for_help_from_others,main_source_oil_bought_on_credit,main_source_oil_bought_through_battering,main_source_oil_bought_using_cash,main_source_oil_fishing__hunting__gathering,main_source_oil_food_assistance_government__charity,main_source_oil_from_employer,main_source_oil_gifts_friends__neighbours__relatives,main_source_oil_other_specify,main_source_oil_own_production_garden__livestock,main_source_oil_received_as_in-kind_payment
,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean
Kunene,0.005780346820809248,0.03468208092485549,0.0,0.7803468208092486,0.0,0.002890173410404624,0.03468208092485549,0.057803468208092484,0.002890173410404624,0.07514450867052024,0.005780346820809248,0.009416195856873822,0.04896421845574388,0.003766478342749529,0.615819209039548,0.0,0.224105461393597,0.026365348399246705,0.05084745762711865,0.0,0.01694915254237288,0.003766478342749529,0.003875968992248062,0.050387596899224806,0.0,0.8798449612403101,0.0,0.003875968992248062,0.011627906976744186,0.046511627906976744,0.0,0.003875968992248062,0.0,0.008791208791208791,0.06373626373626373,0.002197802197802198,0.8615384615384616,0.0,0.0,0.02197802197802198,0.03296703296703297,0.0,0.008791208791208791,0.0
Ohangwena,0.0,0.0,0.0,0.8956916099773242,0.0,0.0022675736961451248,0.0,0.08163265306122448,0.0,0.02040816326530612,0.0,0.0,0.002857142857142857,0.0,0.5085714285714286,0.0,0.07,0.004285714285714286,0.05,0.0014285714285714286,0.35714285714285715,0.005714285714285714,0.003278688524590164,0.0,0.0,0.9016393442622951,0.003278688524590164,0.006557377049180328,0.0,0.08196721311475409,0.0,0.0,0.003278688524590164,0.0015503875968992248,0.0031007751937984496,0.0031007751937984496,0.8945736434108527,0.0,0.0,0.0031007751937984496,0.05271317829457364,0.0,0.03875968992248062,0.0031007751937984496
Omaheke,0.0,0.003134796238244514,0.0,0.8181818181818182,0.0,0.003134796238244514,0.04075235109717868,0.034482758620689655,0.003134796238244514,0.09404388714733543,0.003134796238244514,0.012396694214876033,0.014462809917355372,0.002066115702479339,0.7644628099173554,0.0,0.07024793388429752,0.08264462809917356,0.026859504132231406,0.0,0.024793388429752067,0.002066115702479339,0.0,0.00847457627118644,0.0,0.940677966101695,0.0,0.00847457627118644,0.0211864406779661,0.0211864406779661,0.0,0.0,0.0,0.009685230024213076,0.012106537530266344,0.0,0.8813559322033898,0.0,0.002421307506053269,0.05811138014527845,0.021791767554479417,0.0,0.014527845036319613,0.0
Omusati,0.0021008403361344537,0.0,0.0,0.9117647058823529,0.004201680672268907,0.004201680672268907,0.008403361344537815,0.05672268907563025,0.0,0.012605042016806723,0.0,0.0031007751937984496,0.0015503875968992248,0.0031007751937984496,0.2372093023255814,0.013953488372093023,0.11472868217054263,0.017054263565891473,0.023255813953488372,0.0,0.586046511627907,0.0,0.0,0.0,0.0,0.8556701030927835,0.0,0.013745704467353952,0.010309278350515464,0.12027491408934708,0.0,0.0,0.0,0.0027359781121751026,0.0013679890560875513,0.0027359781121751026,0.9233926128590971,0.0,0.0013679890560875513,0.013679890560875513,0.04377564979480164,0.0,0.01094391244870041,0.0
Oshana,0.0,0.0,0.0,0.9533762057877814,0.0,0.0,0.001607717041800643,0.03858520900321544,0.0,0.006430868167202572,0.0,0.0,0.0,0.0,0.5358166189111748,0.0014326647564469914,0.024355300859598854,0.0028653295128939827,0.09025787965616046,0.0028653295128939827,0.34097421203438394,0.0014326647564469914,0.0,0.002066115702479339,0.0,0.9586776859504132,0.0,0.008264462809917356,0.004132231404958678,0.024793388429752067,0.0,0.002066115702479339,0.0,0.0,0.0,0.0013404825737265416,0.9597855227882037,0.0,0.0,0.004021447721179625,0.032171581769437,0.0,0.002680965147453083,0.0
Oshikoto,0.0,0.0,0.0,0.9067599067599068,0.0,0.0,0.009324009324009324,0.037296037296037296,0.0,0.04428904428904429,0.002331002331002331,0.002583979328165375,0.006459948320413436,0.0,0.4844961240310077,0.0012919896640826874,0.11627906976744186,0.015503875968992248,0.03229974160206718,0.0,0.34108527131782945,0.0,0.0,0.0029069767441860465,0.0,0.9302325581395349,0.0,0.0029069767441860465,0.014534883720930232,0.04941860465116279,0.0,0.0,0.0,0.0,0.004310344827586207,0.0014367816091954023,0.9281609195402298,0.0,0.0,0.010057471264367816,0.040229885057471264,0.0,0.014367816091954023,0.0014367816091954023
Otjozondjupa,0.0,0.017482517482517484,0.0034965034965034965,0.8723776223776224,0.0,0.0,0.04195804195804196,0.022727272727272728,0.0034965034965034965,0.033216783216783216,0.005244755244755245,0.005847953216374269,0.04532163742690058,0.0014619883040935672,0.8055555555555556,0.0,0.039473684210526314,0.05701754385964912,0.03070175438596491,0.0014619883040935672,0.008771929824561403,0.0043859649122807015,0.0,0.02494802494802495,0.002079002079002079,0.9064449064449065,0.0,0.0,0.035343035343035345,0.02702702702702703,0.002079002079002079,0.0,0.002079002079002079,0.002861230329041488,0.044349070100143065,0.001430615164520744,0.8783977110157367,0.0,0.001430615164520744,0.044349070100143065,0.015736766809728183,0.002861230329041488,0.004291845493562232,0.004291845493562232
Zambezi,0.0,0.0025575447570332483,0.0,0.9411764705882353,0.0,0.0,0.0,0.05370843989769821,0.0,0.0025575447570332483,0.0,0.009107468123861567,0.0,0.0,0.8214936247723132,0.0,0.10200364298724955,0.0,0.03278688524590164,0.0,0.03278688524590164,0.0018214936247723133,0.004081632653061225,0.0,0.0,0.963265306122449,0.0,0.0,0.0,0.0326530612244898,0.0,0.0,0.0,0.006048387096774193,0.0020161290322580645,0.0,0.9737903225806451,0.0020161290322580645,0.0,0.0,0.016129032258064516,0.0,0.0,0.0
Female,0.0003240440699935191,0.004536616979909268,0.0,0.8988982501620221,0.0006480881399870382,0.0009721322099805574,0.01458198314970836,0.04504212572909916,0.0019442644199611147,0.03240440699935191,0.0006480881399870382,0.004098360655737705,0.009221311475409836,0.0015368852459016393,0.6524077868852459,0.0025614754098360654,0.08324795081967214,0.0056352459016393444,0.04533811475409836,0.0015368852459016393,0.1910860655737705,0.003329918032786885,0.002199736031676199,0.007479102507699076,0.0,0.9291684997800264,0.0008798944126704796,0.005719313682358117,0.008358996920369555,0.0409150901891773,0.002199736031676199,0.0008798944126704796,0.002199736031676199,0.003967204443268976,0.0076699285903200215,0.0007934408886537953,0.9399629727585295,0.0002644802962179318,0.0007934408886537953,0.005554086220576567,0.03147315524993388,0.0005289605924358636,0.007405448294102089,0.0015868817773075905
Male,0.0011040574109853713,0.009384487993375655,0.0005520287054926856,0.890422301959702,0.0,0.001380071763731714,0.01876897598675131,0.02842947833287331,0.0005520287054926856,0.04609439690863925,0.0033121722329561135,0.005306212690692019,0.021224850762768074,0.0024320141499005084,0.7141277912889675,0.0006632765863365023,0.06853858058810525,0.03139509175326111,0.03493256688038912,0.0013265531726730046,0.11541012602255141,0.004642936104355516,0.0003795066413662239,0.011005692599620493,0.0003795066413662239,0.9419354838709677,0.0,0.0030360531309297912,0.01669829222011385,0.025806451612903226,0.0003795066413662239,0.0,0.0003795066413662239,0.0031992687385740404,0.018281535648994516,0.0013711151736745886,0.9117915904936015,0.002056672760511883,0.0009140767824497258,0.024680073126142597,0.021937842778793418,0.0006855575868372943,0.013939670932358319,0.0011425959780621572
