index,hh_wheat_rice_both,hh_wheat_rice_both,hh_wheat_rice_at_least_one,hh_wheat_rice_neither,hh_source_wheat_rice_not_loc_both,hh_source_wheat_rice_not_loc_at_least_one,hh_source_wheat_rice_not_loc_neither,hh_oil_yn,hh_source_oil_not_loc_yn,hh_maize_prod_cons_yn,hh_mahangu_prod_cons_yn,hh_sorghum_prod_cons_yn,maize_gap,mahangu_gap,sorghum_gap,hh_wheat_other_both,hh_wheat_other_at_least_one,hh_wheat_other_neither
,group_wa9,count,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9
Omaheke,0.3594301525764877,557,0.31728822855496475,0.3232816188685476,0.31424056448602133,0.32779212571623934,0.3579673097977393,0.7487207032237624,0.7126254984682726,0.023369807458045677,0.0,0.0,107.2707639046333,0.0,0.0,0.5027024961722522,0.45897115424003365,0.03832634958771422
Omusati,0.27743745461532154,854,0.3582364648133885,0.36432608057129,0.2388324148848716,0.3563365362769306,0.4048310488381978,0.8657006220169589,0.8106354303561247,0.08200335614838218,0.5743879791102496,0.22632002438353638,40.876401971651354,159.697448009252,21.802676981150498,0.4194300545079952,0.45915428389857504,0.12141566159342977
Oshana,0.4986781004847046,846,0.30716207887442176,0.19415982064087373,0.4757990721597117,0.3129821790481046,0.21121874879218383,0.8863061407518648,0.8568502731694533,0.03945332474217315,0.3791183487282363,0.09524992051809916,2.7575115464986784,98.43746935143207,27.24273406684641,0.5941519142701747,0.3735175670848701,0.03233051864495522
Oshikoto,0.31713791617956316,852,0.2962149044016661,0.3866471794187708,0.29958059460984077,0.27427358586249423,0.42614581952766495,0.8301193259607489,0.7837747205965712,0.06249507413997181,0.49614158948808557,0.07837347612881318,15.929815916029051,90.8212131564774,9.981934995574159,0.45463380684046517,0.5166700520756438,0.028696141083891197
Otjozondjupa,0.49950990334388756,837,0.27038901370823887,0.2301010829478737,0.4632136352359704,0.27717328325696483,0.25961308150706486,0.8327696742468025,0.8085156669027329,0.012888413633086276,0.002033682131277515,0.0017975252168746687,16.93232004475988,0.0,27.22868382432858,0.5687118861927012,0.37426749528009,0.057020618527208904
Zambezi,0.43051346120321554,566,0.3297275720335994,0.23975896676318503,0.41435239648521893,0.3107399914502225,0.27490761206455855,0.8885153871066152,0.8685952920915888,0.2646214551822119,0.036638749236834356,0.01780270892267454,258.3516225257503,0.5634548352792728,9.193771206912832,0.6874778966381895,0.3125221033618106,0.0
Female,0.4548740571152666,4616,0.31045973672789556,0.2346662061568379,0.42190946173595617,0.30862318200295985,0.2694673562610839,0.8378469486281815,0.8013969809054375,0.06440876206819887,0.27499655289899144,0.0802622872444057,10.56339222235563,98.1836418748205,13.86735302445635,0.5841238742577597,0.3699752637559197,0.045900861986320464
Male,0.4605972102778647,5474,0.2922200574854045,0.2471827322367309,0.43586374888487167,0.2890024888997044,0.2751337622154241,0.8152495874077753,0.7866650029388311,0.05276775318038663,0.1630379337990876,0.0474560478286774,115.67914141410454,152.98080124394664,17.19328651484971,0.5518896840918222,0.3978120644122428,0.0502982514959353
0-18,0.15122723562160706,37,0.4566424173374081,0.3921303470409851,0.085989754887524,0.35246510208151993,0.5615451430309564,0.6220185981509436,0.4216490334559107,0.05776238409160398,0.24004644362291044,0.019859830355876656,6.87638873228689,11.069452976790679,0.0,0.3109109938275566,0.5837104406829232,0.10537856548952035
18-59,0.4821201991471355,7809,0.2947884748858189,0.22309132596704567,0.45722162430716495,0.29112333285870834,0.2516550428341268,0.8286448792044026,0.7999889280040136,0.04780934003894911,0.15172759285057813,0.042516263096170126,22.172340733726003,121.42059694538491,14.128969804067525,0.5816719955318309,0.3729103665038414,0.04541763796432766
