index,q02_59_01,q02_59_01,q02_59_02,q02_59_02,q02_59_04,q02_59_04,q02_59_13,q02_59_13,q02_59_15,q02_59_15
,group_wa1,count,group_wa1,count,group_wa1,count,group_wa1,count,group_wa1,count
Zambezi,4.170740552130384,391,6.5222996990522315,549,3.089099747213869,245,6.5851190685331975,496,4.561981076856527,104
Female,4.780544075448794,3086,5.820102453404151,3904,2.869086394062282,2273,6.567911227492003,3781,5.597712806935049,2145
Male,4.95860400580039,3623,5.79550593890006,4523,2.867710345260137,2635,6.509367671647609,4376,5.7944931236509465,2811
0-18,3.743607420748304,16,5.622808693667383,30,3.0499723242132646,13,6.704738144016754,22,5.427045858691857,8
18-59,4.976343947833376,5334,5.695972616312335,6507,2.8727123959841716,4015,6.527622422191388,6364,5.731588145593464,4182
60+,4.420315087460853,1359,6.2910841221365255,1890,2.8399265953336985,880,6.567511434263377,1771,5.584644245074013,766
No formal education,3.8549300185382562,852,6.4986259777918285,1661,2.6118726639663876,508,6.389199436987979,1338,5.183779933515433,493
Not stated,4.474490617448507,28,6.318797865237722,48,2.6612964836962827,25,6.687806504680654,42,5.850415251086868,23
Primary,4.310143146455818,1539,6.238128721745312,2355,2.7239860482999507,1024,6.517447074974763,2127,5.467044161932025,1055
Secondary,5.033061698693259,3198,5.614012037247436,3420,2.8668854959248526,2441,6.570492490739126,3576,5.745251772296049,2494
Tertiary,5.822691686814644,849,4.871639305171737,726,3.0705597497405432,709,6.580361263844534,828,6.137701910527888,700
1,2.8960353501497087,234,6.492971537467366,618,2.516940475849053,127,6.156032040101165,427,4.4251905457304,123
2,3.607862543277535,344,6.576158025411987,676,2.4195193913610535,199,6.3714005108748895,563,5.328123205054981,188
3,3.945211070056408,446,6.416001857056436,733,2.710283030669192,264,6.520054593201679,653,5.155882356766701,259
4,4.169575006470985,496,6.314421636629661,739,2.5854287294318516,333,6.602001845184387,677,5.487262570128639,316
5,4.2404891310769,582,6.258816800468074,829,2.8971668609572805,399,6.6317284496851965,760,5.566705304968028,385
6,4.615397232523731,676,6.126357957405967,860,2.8000010245818103,455,6.549852482339884,826,5.3952691278828295,490
7,5.079093802996693,776,5.8885266843839865,908,2.8256889222708805,614,6.656992607390339,924,5.748317494079254,583
8,5.25871115683619,894,5.568411747233234,990,2.983664299959044,680,6.587006940254162,999,5.790045520378722,695
9,5.41841916065782,1044,5.211141768037413,1033,3.008956153591962,842,6.595415098550069,1110,5.8769126571271935,880
10,5.54902368719961,1217,4.67970869216451,1041,2.945631735213602,995,6.44647002869227,1218,6.042508330606623,1037
Afrikaans,5.700325164324178,666,4.915094886030765,533,2.684962537415932,544,6.396602442791885,627,6.127700548987217,590
English,5.549555668222235,100,3.901808337698757,77,2.9407917380250996,84,6.429985321635747,102,6.281786090834883,96
German,5.802019761109108,28,5.047964012981547,21,3.049733443919562,23,6.30457259503593,26,6.393845095649193,23
Khoisan,2.6716328765385238,36,6.487373968443643,136,1.886426412033126,21,5.753431015251004,82,4.591016571265651,34
Nama/Damara,4.521369065732463,1031,5.1976408143434965,1115,2.5204487958612307,787,6.368010344872009,988,5.558173869246395,847
Oshiwambo,4.898923337184045,2976,6.00781130531088,3781,3.0046804736993526,2171,6.670099748806068,3880,5.8091011187254775,2088
Other,5.8242007020890965,129,5.319586600804172,91,2.8642338632118958,108,6.418634203924222,118,6.3782793388367205,103
Other African,5.987937894389677,82,5.026213435014599,91,3.0145801357458097,71,6.6476065201114976,93,5.4049271778870995,70
Other European,5.932168183051815,34,4.646892919705181,20,4.784201838751746,26,6.624505257979522,31,5.29807340000942,25
Otjiherero,4.684021244620511,605,5.7984128752655515,864,2.8184351768520997,458,6.3332765675720015,804,5.220299465933805,554
Rukavango,4.035486292188972,587,6.2546997526251955,1127,2.5412929167329037,311,6.309369060610419,879,5.35865265558999,360
