index,main_source_wheat_asking_for_help_from_others,main_source_wheat_bought_on_credit,main_source_wheat_bought_through_battering,main_source_wheat_bought_using_cash,main_source_wheat_fishing__hunting__gathering,main_source_wheat_food_assistance_government__charity,main_source_wheat_from_employer,main_source_wheat_gifts_friends__neighbours__relatives,main_source_wheat_other_specify,main_source_wheat_own_production_garden__livestock,main_source_wheat_received_as_in-kind_payment,main_source_other_asking_for_help_from_others,main_source_other_bought_on_credit,main_source_other_bought_through_battering,main_source_other_bought_using_cash,main_source_other_fishing__hunting__gathering,main_source_other_food_assistance_government__charity,main_source_other_from_employer,main_source_other_gifts_friends__neighbours__relatives,main_source_other_other_specify,main_source_other_own_production_garden__livestock,main_source_other_received_as_in-kind_payment,main_source_rice_asking_for_help_from_others,main_source_rice_bought_on_credit,main_source_rice_bought_through_battering,main_source_rice_bought_using_cash,main_source_rice_fishing__hunting__gathering,main_source_rice_food_assistance_government__charity,main_source_rice_from_employer,main_source_rice_gifts_friends__neighbours__relatives,main_source_rice_other_specify,main_source_rice_own_production_garden__livestock,main_source_rice_received_as_in-kind_payment,main_source_oil_asking_for_help_from_others,main_source_oil_bought_on_credit,main_source_oil_bought_through_battering,main_source_oil_bought_using_cash,main_source_oil_fishing__hunting__gathering,main_source_oil_food_assistance_government__charity,main_source_oil_from_employer,main_source_oil_gifts_friends__neighbours__relatives,main_source_oil_other_specify,main_source_oil_own_production_garden__livestock,main_source_oil_received_as_in-kind_payment,main_source_spices_asking_for_help_from_others,main_source_spices_bought_on_credit,main_source_spices_bought_using_cash,main_source_spices_fishing__hunting__gathering,main_source_spices_food_assistance_government__charity,main_source_spices_from_employer,main_source_spices_gifts_friends__neighbours__relatives,main_source_spices_other_specify,main_source_spices_own_production_garden__livestock,main_source_spices_received_as_in-kind_payment
Oshikoto,0.0,0.0,0.0,0.9126614124651501,0.0,0.0,0.011012608082712184,0.034488347474354045,0.0,0.04008748807292775,0.0017501439048560191,0.002738985124071897,0.005013305300937928,0.0,0.5013277039648639,0.0016031012880390269,0.1147461853011905,0.015320010444379353,0.03643986865619187,0.0,0.3228108399203255,0.0,0.0,0.0013169065818748396,0.0,0.9416285300716833,0.0,0.002804395553250679,0.01146830878499329,0.04278185900819783,0.0,0.0,0.0,0.0,0.0042609601952297215,0.0008444912692062383,0.9299936236073599,0.0,0.0,0.009916568566932083,0.03962972971360782,0.0,0.01363574267604393,0.001718883971620209,0.0,0.0069696227071560785,0.9377036506721796,0.0,0.005419255837132436,0.009613220859970743,0.04029424992356104,0.0,0.0,0.0
Otjozondjupa,0.0,0.015007631020916585,0.0062643425837817885,0.8905605826035707,0.0,0.0,0.029922534077455373,0.020557573315749946,0.0033785709867385854,0.030079913307885033,0.004228852103901989,0.003985856656552538,0.037860572807595555,0.00265639773954457,0.8091837030579944,0.0,0.047522220728419856,0.05110249589786079,0.03523741950446745,0.0009935394191157745,0.008763010117224895,0.0026947840712241923,0.0,0.020982469331230713,0.0037723337222643235,0.914852434214562,0.0,0.0,0.027537569781845687,0.031047509991299654,0.0014109190801268783,0.0,0.0003967638786708569,0.002469900541178037,0.03899195233426455,0.0025979768790789226,0.8909184141662632,0.0,0.00032874601493339104,0.04063637911911838,0.017264515608868505,0.002157927440083931,0.001620326439693336,0.0030138614565178388,0.0018589451044652514,0.03824717735267716,0.9214936220148398,0.001434891318992297,0.0,0.019750734672470658,0.013294507808942237,0.0011441355983926437,0.0005629806202641173,0.0022130055089559443
Zambezi,0.0,0.0014270009927847113,0.0,0.9530308763690325,0.0,0.0,0.0,0.04273302288918551,0.0,0.0028090997489972802,0.0,0.006890341323995319,0.0,0.0,0.8390279150553198,0.0,0.08859298030069061,0.0,0.03411603507804437,0.0,0.029550169108572857,0.0018225591333770627,0.0046290285260260485,0.0,0.0,0.9606716360971901,0.0,0.0,0.0,0.034699335376783616,0.0,0.0,0.0,0.005224928855559805,0.0011725153810845568,0.0,0.9764079572769134,0.0014589681146473842,0.0,0.0,0.015735630371794786,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Female,0.00017443320710021175,0.004174542588126873,0.0,0.9181839849272538,0.0006957957349804422,0.0006278584090780763,0.012403574090474717,0.03530751982786248,0.0018284205084759112,0.02651226627252658,9.160443412105727e-05,0.003883541579801176,0.00863979880778928,0.00158958633550927,0.6701260629565845,0.002309392092112542,0.06882459523294512,0.004112204202366849,0.04814459681535415,0.0013949085597007456,0.18809022367686737,0.002885089740969028,0.0013214267539656517,0.006966258403973099,0.0,0.9378789463365759,0.0009042614211854643,0.00547852304138986,0.006406694525811107,0.03852501300030368,0.001248780873973738,0.0006251983360229494,0.0006448973067985874,0.003484211909706309,0.007210774567966649,0.0007143559766221577,0.943755849911554,0.00010558373047072047,0.0008197250599962224,0.00470932334868306,0.031015039561497825,0.00023039292089340464,0.006674575000360925,0.0012801680122486866,0.0010504375542831673,0.0059863471058216305,0.969586947318905,0.0,0.002001945015854471,0.005136192213493344,0.014307801459571024,0.00025841209447446484,0.0,0.0016719172375969013
Male,0.0008914045302117265,0.00736344639180967,0.0007825589262102952,0.9171343828888621,0.0,0.0008787579752355558,0.014677672257916594,0.024651694120831256,0.0008857272674302478,0.02900995257149057,0.0037244030700019346,0.003456591407480079,0.014152425880754093,0.0015717328214107061,0.7439514316799003,0.0007992766997604614,0.055359564540992896,0.025110554448671756,0.03529870238736185,0.0009752764166024365,0.11601195066386115,0.003312493053204207,0.000941005310062599,0.006433482513823082,0.0005269526607931517,0.9556810901560905,0.0,0.0027214290449585235,0.013941728679597292,0.019097319548153392,0.0002873981228184572,0.0,0.00036959396370279946,0.0021701182033832507,0.01296390142565474,0.0015393297489209794,0.9302495774296099,0.0011133899767134048,0.0005026992139370306,0.021221449731587665,0.019282219282877315,0.0008067318930919544,0.009327396360233829,0.0008231867339898829,0.0005281908378658983,0.01054027967007418,0.9651806176599185,0.0008658915804530953,0.0,0.012014650317420324,0.009727823292294773,0.0,0.0004887172472725928,0.0006538293947006548
0-18,0.0,0.0,0.0,0.5385943089523739,0.0,0.0,0.0385934443544518,0.4228122466931742,0.0,0.0,0.0,0.0,0.0,0.0,0.4263705903808729,0.0,0.0842886013769351,0.16571761731651732,0.11585371782021205,0.0,0.1742112221880668,0.033558250917395775,0.0,0.0,0.0,0.8179814915634924,0.0,0.0,0.0,0.18201850843650758,0.0,0.0,0.0,0.0,0.0,0.0,0.4999665666096326,0.0,0.0,0.17790550137890407,0.3221279320114633,0.0,0.0,0.0,0.0,0.0,0.6571877373209527,0.0,0.0,0.0,0.34281226267904735,0.0,0.0,0.0
18-59,0.0005993785774849739,0.006745034757351732,0.00026236076749242275,0.921310314617207,0.0003711593205113471,0.000549384576840935,0.015440360720318194,0.02531530477938323,0.001334513882385577,0.025723614568706907,0.0023485734323174965,0.0037972090570753264,0.012031487582002327,0.001161981669662708,0.7496344788872372,0.0011387587095307657,0.0534626890612294,0.017571825717962748,0.04489869770426681,0.001102561795856548,0.1117991258973292,0.0034011839178469203,0.0013078599458159657,0.007165779574005343,0.0,0.9530142242483547,0.0004701584283797536,0.003027997230114563,0.012106663212309951,0.021504263266215927,0.0006492866325409322,0.00020245620049241323,0.0005513112617705549,0.002720218726683701,0.011224770000485353,0.00084451004595893,0.9379852101624586,0.0006916947583410332,0.0007647761008995342,0.0154435406211839,0.02072075766275946,0.0006760514208307368,0.007843491053181278,0.001084979447217401,0.000418639208241361,0.009406513126243469,0.9675763013801291,0.0005793489620090258,0.0003130916475480384,0.010220198153542191,0.009821800200872645,0.0001239880654900148,0.0003269899330527355,0.001213129322871349
60+,0.00045840654829989633,0.0021330182836130176,0.0012997733438185948,0.9046303495220512,0.0,0.0018544027962076653,0.004608452358025968,0.04379981531963716,0.0011645594539207871,0.03904338668759562,0.0010078356868298839,0.0030816159082790546,0.010374699587529115,0.0034293268329437256,0.5480239654378037,0.002984991270785678,0.0954618851670332,0.004155476119714871,0.022831943338884948,0.0014558039309673363,0.30696023057793137,0.0012400618281268644,0.0,0.003973534714969226,0.0019718550477637615,0.9209285858092607,0.0,0.00916536230370533,0.00239406068256343,0.059637903044546595,0.0010754427890057809,0.0006954376087891746,0.00015781799939583365,0.002968220533971672,0.006904515355740513,0.0026235920695821175,0.9361495554197169,0.000547117349987125,0.000126092663729004,0.004032580078136545,0.03626824712891886,0.0,0.00958814730581701,0.000791932094400083,0.0029811078567794844,0.00351975871318991,0.9668298731394095,0.0,0.004398979771458609,0.0019222489878302487,0.02016776681912649,0.0,0.0,0.00018026471220558834
No formal education,0.0025306604386611934,0.008865233087772558,0.0,0.8449546078336309,0.0,0.006790855981339,0.01615501787688497,0.0722845227220469,0.0010552481507302047,0.04196988476530454,0.005393969143629815,0.007953087378877555,0.02469206585938643,0.0029107047723565924,0.5626648215630689,0.0008793427514075628,0.12468905610687102,0.03722585633672429,0.03339241137601417,0.0006201188506742997,0.2022446014988379,0.0027279335057813357,0.0025043470937673863,0.013550946128215877,0.0,0.8799692935323107,0.0,0.017147557880550463,0.012060825595769391,0.07067838553080448,0.0019332797086552267,0.001250159870383022,0.0009052046595434707,0.007167564230590581,0.0215285455784765,0.0012851251825912926,0.870103314767095,0.000662719929850304,0.0009745541949280788,0.03532061933143804,0.04291120959635868,0.0,0.018949864121595467,0.001096483067076141,0.0004969548351146665,0.025431392947802497,0.929017808581909,0.0,0.0,0.01907177205247874,0.025692282033298975,0.0,0.0,0.00028978954939619844
Not stated,0.0,0.0,0.0,0.9602318289165862,0.0,0.0,0.0,0.0,0.0,0.039768171083413774,0.0,0.0,0.0,0.0,0.4602659678408257,0.0,0.0,0.0,0.05503502352392354,0.0,0.48469900863525067,0.0,0.0,0.0,0.0,0.9765048037127426,0.0,0.0,0.0,0.02349519628725715,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9745725536106399,0.0,0.0,0.0,0.025427446389359985,0.0,0.0,0.0
Primary,0.0006962006846457933,0.007847984596036469,0.0010560984356887122,0.8742811331170746,0.0014940525655942056,0.0002932080241029734,0.020181678058207107,0.048961192362703986,0.00048166626851250927,0.042587006341805386,0.00211977954562843,0.004348880435147238,0.01770125799946638,0.0020039166483372226,0.6118682066092677,0.0032331156047863325,0.08571788690910832,0.018913286598548747,0.03796919668858215,0.0010616459330097642,0.21144723422941838,0.005735372344327746,0.000895103349180183,0.013047896508370757,0.0,0.9080078937729975,0.0,0.00615275386735122,0.017263626026787392,0.050762632885534065,0.0018337523050780116,0.0,0.0020363412847007956,0.002562287405433005,0.01863476091873401,0.003446808091888652,0.9063352044053036,0.001924558325214255,0.0011444652766818227,0.016036943600168763,0.03741218655501861,0.0009238745435660945,0.010737020881940887,0.0008418899960503868,0.0009961603733745928,0.014164999239203419,0.9485804806850495,0.0019440480841823296,0.0014360318057982904,0.011713641575440697,0.018331370578440087,0.0005686859006858173,0.0002798262212567636,0.0019847555365683873
Secondary,0.0003360569397217792,0.0046746564027060206,0.0,0.9355663041927984,0.0,0.0,0.010991627930518253,0.019145544943936003,0.002198050276753162,0.024839134013871927,0.0022486252996944994,0.0019768318049596086,0.006576535771587195,0.0009220874337112341,0.7841850309821256,0.0011572387496344,0.040043806712446874,0.009647970243750872,0.0407098257710828,0.00065498279708425,0.11156850594135724,0.002557183792260088,0.001439474284002509,0.0039030316017563626,0.0,0.9629498107291862,0.000784420149769102,0.002654494545941721,0.007885222847073365,0.019583274883945852,0.00040148553453294626,0.00033778129567778054,6.100412811427192e-05,0.002505049315420432,0.004788912116947724,0.0003831289482580318,0.9593834289803987,0.00011362425972883155,0.0005159463697532808,0.0087339162572878,0.016246408599792303,0.0007139605631404047,0.005154121988641166,0.0014615026006313044,0.001001873086298982,0.005580785571493906,0.973904993991379,0.00026195143704126517,0.0010907119400526744,0.007192214848966588,0.009652796273317313,0.0,0.0,0.0013146728514503556
Tertiary,0.0,0.0055649343605658685,0.0015200388332696892,0.9588614155880437,0.0,0.0,0.014949005640639456,0.0034973033629782683,0.0,0.015607302214502761,0.0,0.0018789894146516617,0.002119681185846683,0.001811203573933161,0.8653358930427549,0.0,0.007755401169663688,0.003191331250892405,0.0453882366942036,0.00374769355841956,0.06877157010963432,0.0,0.0,0.006650308298920442,0.0017918068440386237,0.9728412060567841,0.0,0.0,0.012565481690967726,0.006151197109288923,0.0,0.0,0.0,0.0,0.004610741261883339,0.0,0.981020701073543,0.0005341349501607892,0.0,0.009413043716464474,0.0015882477340399472,0.0,0.002833131263908253,0.0,0.0,0.00636605583375497,0.9806723700386504,0.0,0.0,0.010301294422863483,0.0012433708790737744,0.0,0.001416908825657461,0.0
1,0.004175146467702237,0.022841172246021068,0.0,0.7990473100054433,0.0,0.005588021438375277,0.014368962918371085,0.0929524285743182,0.002704125271477678,0.05832283307829115,0.0,0.022208475587612495,0.02656462564742605,0.010132213477236463,0.5854760906183466,0.0,0.16455601798373784,0.01722171531609996,0.056153428209060226,0.0010773045753865859,0.10623604762713658,0.010374080957957185,0.013236283695500445,0.018258815783288963,0.0,0.8492246889198952,0.0,0.04206959322935758,0.009648572879487219,0.06270775681549245,0.004854288676978135,0.0,0.0,0.020739072541836007,0.029010479802337195,0.0019141632229951232,0.8655218191817451,0.00643120100086902,0.004257022656177026,0.014877239527331297,0.046910478443893865,0.0033248944118568057,0.005538857040168991,0.0014747721707895753,0.0,0.02180717284639916,0.9355967041455309,0.0,0.0,0.012693554572717435,0.025171510487235357,0.004731057948117074,0.0,0.0
2,0.0,0.00017438354678523212,0.0,0.8874463027296071,0.0,0.0,0.008153787941494291,0.04905712891541968,0.002232015308802982,0.049795445853075736,0.00314093570481492,0.006395048767505995,0.03154874522923711,0.0037832755762125902,0.5762638516708507,0.005390518652400527,0.12544059898379992,0.008605291558971839,0.05573837629336953,0.0006378050318194584,0.18158841725588973,0.004608070979942514,0.0,0.018616939665417418,0.0,0.8833319095795775,0.0,0.00743149601108248,0.002904161301381483,0.08292686894388569,0.0047886244986552985,0.0,0.0,0.0031967041210845468,0.035394669011887765,0.002951491198023375,0.8893716656238188,0.0017700513477460016,0.0,0.001968492666114112,0.046348660270466115,0.0,0.018669312873069614,0.000328952887789895,0.004777065518296204,0.01877059013055955,0.9537396838680894,0.0,0.0,0.0035895755738123603,0.01912308490924263,0.0,0.0,0.0
3,0.0,0.004884857799977841,0.0,0.8846448563915663,0.0,0.0017754291473884582,0.014052323612063872,0.061183865832797016,0.0,0.03181814346318301,0.0016405237530234186,0.008289402298069471,0.01806630416365629,0.0026834006939458355,0.587053411382022,0.003469310694359889,0.11473894408791399,0.010516892496084895,0.0253351978110813,0.0018411914386807018,0.22105067423282265,0.00695527070136305,0.0012240541474046413,0.009323344726892871,0.0,0.9279443188292884,0.0,0.018361431473028655,0.0,0.039853946052334804,0.0032929047710505473,0.0,0.0,0.005296343824737746,0.019285967867710332,0.0,0.9140777419470638,0.0007293731879790624,0.00032516062670749917,0.009198992479633513,0.03597335705692984,0.0004450645599949908,0.014667998449243255,0.0,0.0039271462643834685,0.010480271129680202,0.9639690632159021,0.0,0.003297843450168502,0.0034610293428065197,0.014864646597059075,0.0,0.0,0.0
4,0.0,0.00825009589015335,0.0032663413809193853,0.8777019488251516,0.0030814715987093006,0.0011403045217998529,0.007777706614276298,0.05708591833984281,0.0,0.04053810455223803,0.0011581082769093385,0.0027082839901355123,0.015188005891797186,0.0,0.6347585458315799,0.002083019548903458,0.08558155913687572,0.006567676110452378,0.03773730542449179,0.0011689085895008474,0.21006401473259617,0.004142680743667161,0.0002761935959801786,0.005355395333140885,0.0,0.9135266578263436,0.0,0.005415414435724172,0.002693898063700433,0.07222904432616577,0.0,0.0,0.000503396418944928,0.002890739382768931,0.006619216648665672,0.005886613692100028,0.9271155400705541,0.0018559675759843857,0.0011026256588047552,0.003932822962029866,0.033721769736443065,0.0,0.01162516723032132,0.005249537042327902,0.002272720085860925,0.0071226370260392856,0.9644457618668268,0.0,0.0,0.0012291878039505225,0.024408192428561203,0.0,0.0,0.0005215007887611953
5,0.0007294984720785781,0.007724001876465909,0.0,0.8921396143576595,0.0012449284432234711,0.0017055007976270135,0.012560635060058584,0.03921846237688863,0.0,0.040394950402898075,0.004282408213100251,0.0,0.007298625586946097,0.002725247912141042,0.6257638435166323,0.000651423189813868,0.08061824553401664,0.02920322676545795,0.04023411939005887,0.0,0.21070415408426255,0.0028011140206706717,0.0,0.00612551406461287,0.0,0.9334532274955187,0.0,0.005998376838778205,0.018398361347617378,0.033980166933573336,0.0,0.0,0.0020443533198994564,0.0035701198505518742,0.007863511503301376,0.0,0.916901095648117,0.0,0.0011205141961213919,0.020245162943784957,0.034448211295172323,0.0,0.014757925728005813,0.0010934588349453846,0.0,0.00897475591714041,0.9727094316234912,0.0,0.001536477520665037,0.0,0.014689065522948063,0.0,0.0,0.0020902694157553903
