Food item code in Household Survey (item_cod),Food item description in Household Survey (desc),Reference Food Composition Table (FCT),Food code in FCT,Food description in FCT,Food Item Index Matching (Read the text in the comment of this cell),Refuse factor (refuse),Item Group (item_grp),Water (grams),Ash (grams),Protein (grams) (fd_pro),Total Fat (grams) (fd_fat),Total Fiber (grams) (fd_fib),Alcohol (grams) (fd_alc),Carbohydrates including fiber (Total) (grams),Available Carbohydrates by difference (grams) (fd_car),Calories (Kcal),Computed calories (Kcal) (fd_kcal)
1145.01,"Cheese, all types",West African FCT,10_008,"Cheese, Gouda",A2,0,,41,3.9,24.8,29.5,0,0,0.7,0.8,367,367.9
1146.01,Cream,West African FCT,10_010,"Cream, 13 % fat",A2,0,,78.5,0.6,2.9,13.5,0,0,4.5,4.5,151,151.1
1147.01,Eggs,West African FCT,08_001,"Egg, chicken, raw",A2,0,,76.2,1.1,12.6,9.5,0,0,0.7,0.6,139,138.3
1151.01,Butter,West African FCT,11_001,"Butter, from cow's milk (without salt)",B2,0,,19.2,0.3,0.8,79.6,0,0,0.2,0.1,720,720
1152.01,Margarine & margarine spreads,West African FCT,11_006,"Margarine, fortified",B2,0,,16.5,1.9,0.2,80.7,0,0,0.7,0.7,730,729.9
1152.02,Peanut butter,West African FCT,06_025,"Groundnut, combined varieties, shelled, dried,raw (Ghana)",C2,0,,7.2,2.6,22.4,44.5,8.5,0,14.8,14.8,566,566.3
1154.01,Cooking oil,SA_FCT,3486,"Vegetable oil (50% sunflower,30% maize, 20% peanut)",,,,,,,,,,,,,
1154.02,Olive oil,West African FCT,11_010,Vegetable oil,A,0,,0,0,0,100,0,0,0,0,900,900
1155.01,Cooking fats,WAFCT,11_010 ,Vegetable oil,,0,,0,0,0,100,0,0,0,0,900,900
1155.02,Omaze ongombe,WAFCT,11_001,"Butter, from cow's milk (without salt)",,0,,19.2,0.3,0.8,79.6,0,0,0.2,0.1,720,720
1155.03,Komazam & sheep tail fat,WAFCT,11_003,Groundnut oil,,0,,0,0,0,100,0,0,0,0,900,900
1159.99,Other oils & fats (specify),WAFCT,11_003,Groundnut oil,,0,,0,0,0,100,0,0,0,0,900,900
1161.01,"Citrus fruits (orange, lemon, etc.)",WAFCT,05_016,"Orange, raw",,0.27,,87.8,0.5,0.7,0.3,1.7,0,9,9,45,44.9
1162.01,Bananas,WAFCT,05_003,"Banana, white flesh, raw",,0.36,,73.6,0.8,1.2,0.2,2,0,22.2,22.2,99,99.4
1163.01,Apples,WAFCT,05_026,"Apple, with skin, raw",,0.1,,85.6,0.2,0.3,0.2,2.4,0,11.3,11.3,53,53
1164.01,Pears,USDA,9252,"Pears, raw",,0,,83.71,0.33,0.38,0.12,3.1,0,15.46,12.36,58,58.24
1165.01,Apricots,USDA,9021,"Apricots, Raw",,0,,86.35,0.75,1.4,0.39,2,0,11.12,9.11,48,49.55
1165.02,Avocados,KFCT,5003,"Avocado, Ripe, Raw",,0.29,,74,1.9,1.6,19.6,4,0,0,0,185,190.8
1165.03,Cherries,USDA,9070,"Cherries, Sweet, Raw",,0,,82.25,0.48,1.06,0.2,2.1,0,16.01,13.91,63,65.88
1165.04,Mangoes,West African FCT,05_036,"Mango, deep orange flesh",A,0.29,,79.7,0.3,0.4,0.2,2.1,0,17.3,17.3,76,76.8
1165.05,Plums,USDA,9279,"Plums, Raw",,0,,87.23,0.37,0.7,0.28,1.4,0,11.42,10.02,46,48.2
1165.06,Peaches,KFCT,5027,"Peach, Yellow Fleshed, unpealed, raw",,0.12,,86.7,0.4,1,0.1,1.9,0,9.9,9.9,48,48.3
1166.01,Strawberries,KFCT,5034,"Strawberry, Raw",,0.04,,90,0.4,0.7,0.2,2.5,0,6.3,6.2,35,34.4
1166.02,Mulberries,KFCT,5021,"Mullberries, Raw",,0.01,,89.5,0.9,1.6,0.2,2.2,0,5.6,5.6,35,35
1166.03,Figs,USDA,9089,"Figs, Raw",,0,,79.11,0.66,0.75,0.3,2.9,0,19.18,16.28,74,76.62
1166.04,Grapes/ Omandjebere (fresh),WAFCT,05_035,"Grapefruit, pulp, raw",,0,,90.7,0.5,0.7,0.1,1.2,0,6.8,6.8,33,33.3
1166.05,Guavas,WAFCT,05_010,"Guava, fruit, raw",,0.22,,82.9,0.6,1,0.4,5.6,0,9.5,9.5,57,56.8
1166.06,"Olives, all types",USDA,9195,"Olives, Pickles, CND or BTLD, GRN",,0,,75.28,4.53,1.03,15.32,3.3,0,3.84,0.54,145,150.76
1166.07,"Capers, all types",USDA,2054,"Cappers, Canned",,0,,83.85,8.4,2.36,0.86,3.2,0,4.89,1.33,23,28.9
1167.01,"Sweet melons, all types",WAFCT,05_038,"Melon, honeydew, raw",,0.54,,92,0.6,0.6,0.1,0.8,0,5.9,5.9,29,28.5
1167.02,Watermelons,WAFCT,05_038,"Melon, honeydew, raw",,0.54,,92,0.6,0.6,0.1,0.8,0,5.9,5.9,29,28.5
1167.03,Pineapples,WAFCT,05_018,"Pineapple, Pulp, Raw",,0.49,,85.8,0.3,0.4,0.2,1.3,0,12,12,54,54
1167.99,Passion fruit,KFCT,5025,"Passion fruit, dark purple skin, raw",,0.48,,75.7,0.8,2.4,0.9,11.7,0,8.7,8.5,75,75.1
1168.01,Eendunga/ Munganda,West African FCT,06_029,"Palm nut kernel, shelled, raw",C2,0,,13.5,1.5,6.1,55.3,4,0,19.6,19.6,609,608.5
1168.02,Oombe (bird plum),Kenya NCT,06_029,"Plum nut kernel, shelled, raw",C2,0.07,,86.9,0.4,0.7,0.1,2,0,9.9,9.9,47,47.3
1168.02,Oombe,KFCT,6029,"plum nut kernel, shelled, raw",,0.07,,86.9,0.4,0.7,0.1,2,0,9.9,9.9,47,47.3
1168.03,Grapes/ Omandjebere (dry),WAFCT,05_026,"Apple, with skin, raw",,0.1,,85.6,0.2,0.3,0.2,2.4,0,11.3,11.3,53,53
1168.04,Omauni,WAFCT,05_016,"Orange, raw",,0.27,,87.8,0.5,0.7,0.3,1.7,0,9,9,45,44.9
1168.05,Omapea,WAFCT,05_026,"Apple, with skin, raw",,0.1,,85.6,0.2,0.3,0.2,2.4,0,11.3,11.3,53,53
