Food item code in Household Survey (item_cod),Food item description in Household Survey (desc),Reference Food Composition Table (FCT),Food code in FCT,"Food Item Index Matching (Read the text in the comment of this cell)
",Refuse factor (refuse),Item Group (item_grp),Item Group (diversity_grp)
1178.05,Frozen vegetables,USDA_FCT,11584,,0,,
1179.08,Mixed vegetables,USDA_FCT,43312,,0,,
1179.99,Other vegetables & tubers (specify),SA_FCT,3781,,,,
1181.01,Sugar,WA_FCT,13_002,,0,,
1181.02,Sugar cane,Kenya_FCT,11002,,0,,
1181.03,Icing sugar,USDA_FCT,19336,,0,,
1181.09,"Other (sugar weed, etc.)",Kenya_FCT,11002,,0,,
1182.01,Honey,WA_FCT,13_001,,0,,
1182.02,Jam,USDA_FCT,19297,,0,,
1183.01,Chocolate,USDA_FCT,19081,,0,,
1184.01,Sweets,USDA_FCT,19074,,0,,
1185.01,Ice cream,WA_FCT,10_010,,0,,
1186.01,Syrup,WAFCT,19113,,0,,
1186.99,Other sweeteners (specify),USDA_FCT,19906,,0,,
1191.01,Mayonnaise,USDA_FCT,43598,,0,,
1191.02,Tomato Sauces,USDA_FCT,6973,,0,,
1191.03,Vinegar,WA_FCT,13_003,,0,,
1191.08,Salad dressings,USDA_FCT,43599,,0,,
1192.01,Salt,SA_FCT,4288,,,,
1192.02,Spices & condiments,WA_FCT,13_016,,0,,
1192.03,Garlic,WA_FCT,04_015,,0.13,,
1193.02,Yeast,WA_FCT,13_017,,0,,
1193.05,"Custards, puddings, jelly & gelatine",USDA_FCT,18969,,0,,
1193.06,Ready-made soup,USDA_FCT,6147,,0,,
1193.07,Powdered soup,USDA_FCT,6147,,0,,
1195.99,Other foods (specify),KFCT,15025,,,,
1211.01,Coffee,WA_FCT,12_005,A,0,,
1212.01,Tea,WA_FCT,12_008,A,0,,
1213.01,Chocolate drinks,WA_FCT,12_008,A,0,,
1219.99,Other infusions (specify),WA_FCT,12_008,A,0,,
1221.01,Mineral water & ice cubes blocks,WA_FCT,12_019,A,0,,
1222.01,Soft drinks,USDA,14148,,0,,
1222.99,"Other non-alcoholic drinks (Energade, Powerade) (specify)",USDA,14599,,0,,
1223.01,Fruit juice & squashes,WA_FCT,12_011,A,0,,
1223.02,Mageu/Oshikundu,SA_FCT,4410,A,,,
1223.99,Other powdered drinks (specify),WA_FCT,12_011,A,0,,
2111.04,"Local home-made distilled drinks, all types (ombike, kashipembe)",WA_FCT,12_004,,0,,
2121.01,Wines,WA_FCT,12_006,,0,,
2129.99,Other alcoholic beverages (specify),FAFH,,,,,
2131.01,Beer/ Ales/ Ciders,WA_FCT,12_001,,0,,
2131.99,"Local home-made brew, all types (tombo, epwaka, shafuluka)",WA_FCT,12_004,,0,,
2111.01,Brandies,FAFM,,,0,,
2111.03,White Spirits,FAFM,,,0,,
2111.05,Liqueurs,FAFM,,,0,,
2111.06,Whisky,FAFM,,,0,,
2122.01,Wines,FAFM,,,0,,
2122.99,"Marunga palm, Wine",FAFM,,,0,,
1194.01,Ready-made frozen food,USDA,21226,,0,,
1193.03,Bottled baby food,FAFM,43523,,0,,
1193.04,Cake essences,FAFM,,,0,,
1192.04,Ginger,KFCT,13020,,0.15,,
1193.01,Baking powder,USDA,18372,,0,,
1191.04,Chilli sauce,USDA,22911,,0,,
1191.05,Chutney,FAFH,,,0,,
1191.06,Garlic sauce,USDA,13019,,0.15,,
1191.07,Mustard sauce,USDA,2046,,0,,
1191.08,Salad dressings,USDA,4017,,0,,
1191.09,Soy sauce,USDA,16123,,0,,
1191.1,Worcestershire sauce,USDA,6971,,0,,
