Food_item_code_in_Household_Survey_item_cod,Food_item_description_in_Household_Survey_desc,Reference_Food_Composition_Table_FCT,Food_code_in_FCT,Food_Item_Index_Matching_Read_the_text_in_the_comment_of_this_cell,Refuse_factor_refuse,Item_Group_item_grp,Item_Group_diversity_grp,Food_description_in_FCT,Calcium (milligrams) (calcium),Iron (milligrams) (iron),Zinc (milligrams) (zinc),Folate (micrograms) (folate),Vitamin C (Ascorbic Acid) (milligrams) (vit_c),Vitamin B1 (Thiamine) (milligrams) (vit_b1),Vitamin B2 (Riboflavin) (milligrams) (vit_b2),Retinol (micrograms) (retinol),Betacarotene equivalents (micrograms) (betacar),Vitamin A (micrograms of RAE) (vita_rae),Vitamin B6 (Pyridoxine) (milligrams) (vit_b6),Vitamin B12 (Cobalamine) (micrograms) (vit_b12),Magnesium (milligrams),Phosphorus (milligrams),Potassium (milligrams),Sodium (milligrams),Copper (milligrams),Vitamin D (micrograms),Vitamin E (milligrams),Niacin (milligrams)
1165.01,Apricots,USDA_FCT,9021,,0.0,,,"APRICOTS,RAW",13,0.39,0.2,9.0,10.0,0.03,0.04,0.0,1094,96.0,0.054000000000000006,0.0,10.0,23.0,259.0,1.0,0.078,0,,0.6
1165.02,Avocados,Kenya_FCT,5003,,0.29,,,"Avocado, ripe, raw",19,1,0.39,67,14,0.07,0.15,0,27,2,,0,25,41,281,7,,,,1.8
1165.03,Cherries,USDA_FCT,9070,,0.0,,,"CHERRIES,SWEET,RAW",13,0.36,0.07,4.0,7.0,0.027000000000000003,0.033,0.0,38,3.0,0.049,0.0,11.0,21.0,222.0,0.0,0.06,0,,0.154
1165.04,Mangoes,WA_FCT,05_036,A,0.29,,,"Mango, deep orange flesh",12.0,0.7,0.1,29,65.5,0.09,0.03,0,4720,393,0.13,0,9,14.0,157,2,0.09,0,1.05,0.4
1165.05,Plums,USDA_FCT,9279,,0.0,,,"PLUMS,RAW",6,0.17,0.1,5.0,9.5,0.027999999999999997,0.026000000000000002,0.0,190,17.0,0.028999999999999998,0.0,7.0,16.0,157.0,0.0,0.057,0,,0.417
1165.06,Peaches,Kenya_FCT,5027,,0.12,,,"Peach, yellow-fleshed, unpeeled, raw",5,0.3,0.11,0,8,0.01,0.03,0,157,13,,0,8,20,203,2,,,,0.8
1166.01,Strawberries,Kenya_FCT,5034,,0.04,,,"Strawberry, raw",19,0.6,0.18,39,49,0.03,0.02,0,1,0,,0,8,27,158,3,,,,0.1
1166.02,Mulberries,Kenya_FCT,5021,,0.01,,,"Mulberry, raw",55,1.2,0.2,33,11,0.03,0.07,0,10,1,,0,19,40,310,6,,,,0.7
1166.03,Figs,USDA_FCT,9089,,0.0,,,"FIGS,RAW",35,0.37,0.15,6.0,2.0,0.06,0.05,0.0,85,7.0,0.113,0.0,17.0,14.0,232.0,1.0,0.07,0,,0.4
1166.04,Grapes/ Omandjebere (fresh),WA_FCT,05_035,,0.0,,,"Grapefruit, pulp, raw",20.0,0.3,0.07,12,36.1,0.05,0.02,0,18,1,0.04,0,9,16.0,164,2,0.05,0,0.25,0.2
1166.05,Guavas,WA_FCT,05_010,,0.22,,,"Guava, fruit, raw",23.0,0.7,0.32,7,261,0.05,0.04,0,419,35,0.14,0,13,32.0,270,4,0.06,0,0.32,1.2
1166.06,"Olives, all types",USDA_FCT,9195,,0.0,,,"OLIVES,PICKLED,CND OR BTLD,GRN",52,0.49,0.04,3.0,0.0,0.021,0.006999999999999999,0.0,231,20.0,0.031,0.0,11.0,4.0,42.0,1556.0,0.12,0,,0.237
1166.07,"Capers, all types",USDA_FCT,2054,,0.0,,,"CAPERS,CANNED",40,1.67,0.32,23.0,4.3,0.018000000000000002,0.139,0.0,83,7.0,0.023,0.0,33.0,10.0,40.0,2964.0,0.374,0,,0.652
1167.01,"Sweet melons, all types",WA_FCT,05_038,,0.54,,,"Melon, honeydew, raw",7.0,0.3,0.09,12,14.2,0.03,0.01,0,31,3,0.07,0,9,16.0,228,27,0.03,0,0.08,0.5
