Food_item_code_in_Household_Survey_item_cod,Food_item_description_in_Household_Survey_desc,Reference_Food_Composition_Table_FCT,Food_code_in_FCT,Food_Item_Index_Matching_Read_the_text_in_the_comment_of_this_cell,Refuse_factor_refuse,Item_Group_item_grp,Item_Group_diversity_grp,Food_description_in_FCT,Calcium (milligrams) (calcium),Iron (milligrams) (iron),Magnesium (milligrams),Phosphorus (milligrams),Potassium (milligrams),Sodium (milligrams),Zinc (milligrams) (zinc),Copper (milligrams),Vitamin A (micrograms of RAE) (vita_rae),Retinol (micrograms) (retinol),Betacarotene equivalents (micrograms) (betacar),Vitamin D (micrograms),Vitamin E (milligrams),Vitamin B1 (Thiamine) (milligrams) (vit_b1),Vitamin B2 (Riboflavin) (milligrams) (vit_b2),Niacin (milligrams),Vitamin B6 (Pyridoxine) (milligrams) (vit_b6),Folate (micrograms) (folate),Vitamin B12 (Cobalamine) (micrograms) (vit_b12),Vitamin C (Ascorbic Acid) (milligrams) (vit_c),Selenium (micrograms)
1174.03,Carrots,WA_FCT,04_006,,0.11,,,"Carrot, raw",35.0,0.7,12,42.0,266,42,0.26,0.06,713,0,8560,0,0.47,0.06,0.05,0.7,0.23,31,0,7,
1174.06,Onion,WA_FCT,04_018,,0.09,,,"Onion, raw",25.0,0.3,10,39.0,183,4,0.26,0.04,0,0,1,0,0.04,0.05,0.04,0.2,0.1,16,0,10.3,
1174.08,Turnip,WA_FCT,04_068,,0.0,,,"Turnip, raw ",41.0,0.3,15,35.0,262,44,0.22,0.1,3,0,36,0,Tr,0.04,0.04,0.8,0.08,24,0,23.7,
1175.01,Beans (dried),WA_FCT,03_022,,0.0,,,"Beans, white, dried",74.0,5.7,186,429.0,1550,18,3.77,0.47,15,0,[179],0,0.19,0.89,0.11,1.6,0.51,395,0,0,
1175.03,Lentils,WA_FCT,03_030,,0.19,,,"Lentils, dried, raw",61.0,7,103,391.0,855,9,3.9,0.74,3,0,42,0,[0.49],0.59,0.23,2.3,0.68,295,0,Tr,
1175.09,"Dried vegetables, other",WA_FCT,04_031,,0.0,,,"Cowpea leaves, dried",1060.0,34,401,364.0,2850,40,3.35,1.81,201,0,[2407],0,15.8,1.15,2.35,10.2,1.49,673,0,38,
1177.01,"Potatoes, English",WA_FCT,02_009,,0.16,,,"Potato, raw",11.0,0.9,27,50.0,551,7,0.35,0.09,1,0,14,0,0.06,0.08,0.12,1.2,0.27,18,0,17.3,
1178.01,Sweet potatoes,WA_FCT,02_022,,0.16,,,"Sweet potato, pale yellow, raw",27.0,1.1,16,51.0,457,20,0.39,0.13,3,0,39,0,0.17,0.09,0.04,0.6,0.27,52,0,22.3,
1181.01,Sugar,WA_FCT,13_002,,0.0,,,Sugar,1.0,0.1,0,0.0,2,1,0.01,0.01,0,0,0,0,0,0,0.02,0,0,0,0,0,
1182.01,Honey,WA_FCT,13_001,,0.0,,,Honey,9.0,0.5,2,4.0,52,4,0.22,0.04,0,0,0,0,0,0,0.04,0.2,0.02,2,0,0.5,
1185.01,Ice cream,WA_FCT,10_010,,0.0,,,"Cream, 13 % fat",104.0,0.04,11,79.0,136,39,0.37,0.01,120,115,59,0.2,0.34,0.04,0.19,0.1,0.05,12,0.4,1,
1191.03,Vinegar,WA_FCT,13_003,,0.0,,,Vinegar,12.0,0.5,21,29.0,90,20,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,
1192.02,Spices & condiments,WA_FCT,13_016,,0.0,,,"Spices, mix, ground",661.0,7.1,135,113.0,1040,77,1.01,0.55,27,0,324,0,,0.1,0.06,2.9,0.21,36,0,39.2,
1192.03,Garlic,WA_FCT,04_015,,0.13,,,"Garlic, raw",32.0,1.6,21,158.0,533,11,0.79,0.15,0,0,0,0,0.01,0.17,0.06,1.9,0.17,0.45,1.2,0.3,
1193.02,Yeast,WA_FCT,13_017,,0.0,,,"Yeast, dried",80.0,20,230,1290.0,2000,50,8,5.0,0,0,0,0,0,2.33,4,36,2,4000,Tr,0,
1211.01,Coffee,WA_FCT,12_005,A,0.0,,,"Coffee, instant, powder",146.0,4.4,324,303.0,3640,38,0.73,0.38,0,0,Tr,0,Tr,0.02,0.08,28.2,0.03,2,0,0,
1212.01,Tea,WA_FCT,12_008,A,0.0,,,"Tea, infusion",7.0,0.2,6,8.0,129,1,0.08,0.04,1,0,7,0,0.08,0.03,0.01,0.1,0.05,14,0,40.6,
1213.01,Chocolate drinks,WA_FCT,12_008,A,0.0,,,"Tea, infusion",7.0,0.2,6,8.0,129,1,0.08,0.04,1,0,7,0,0.08,0.03,0.01,0.1,0.05,14,0,40.6,
1219.99,Other infusions (specify),WA_FCT,12_008,A,0.0,,,"Tea, infusion",7.0,0.2,6,8.0,129,1,0.08,0.04,1,0,7,0,0.08,0.03,0.01,0.1,0.05,14,0,40.6,
1221.01,Mineral water & ice cubes blocks,WA_FCT,12_019,A,0.0,,,"Water, tap",1.0,Tr,2,0.0,1,3,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,
1223.01,Fruit juice & squashes,WA_FCT,12_011,A,0.0,,,"Juice, orange, unsweetened",12.0,0.3,11,16.0,186,1,0.05,0.05,8,0,100,0,0.2,0.08,0.03,0.3,0.06,34,0,42.7,
1223.02,Mageu/Oshikundu,WA_FCT,01_017,A,,,,"Pearl millet, whole grain, raw (with bran)",14.0,[7.6],97,207.0,401,19,2.83,0.45,0,0,[3],0,0.07,0.32,0.27,2.4,0.74,30,0,0,
1223.99,Other powdered drinks (specify),WA_FCT,12_011,A,0.0,,,"Juice, orange, unsweetened",12.0,0.3,11,16.0,186,1,0.05,0.05,8,0,100,0,0.2,0.08,0.03,0.3,0.06,34,0,42.7,
2111.04,"Local home-made distilled drinks, all types (ombike, kashipembe)",WA_FCT,12_004,,0.0,,,"Beer, sorghum (est. 3% alcohol)",8.0,0.2,14,25.0,31,2,0.14,0.02,0,0,0,0,0,0.02,0.04,0.3,,,Tr,0,
2121.01,Wines,WA_FCT,12_006,,0.0,,,Palm wine (est. 3.8 % alcohol),2.0,0.5,9,5.0,,,,0.01,0,0,0,0,,0.03,0.01,0.3,,,0,4,
2131.01,Beer/ Ales/ Ciders,WA_FCT,12_001,,0.0,,,Beer european (4.4 % alcohol),8.0,0.1,7,14.0,32,6,0.01,0.01,0,0,0,0,0,Tr,0.03,0.7,0.07,5,Tr,0,
