3.5 Consumption statistics for each food item by region,,,,,
,Average quantity as purchased (g/capita/day),Average edible quantity (g/capita/day),Average food consumption in monetary value (LCU/capita/day),Average dietary energy consumption (kcal/capita/day),Median dietary energy unit value (LCU/1000 kcal)
region,,,,,
,,,,,
!Karas,,,,,
01192.03  Garlic,0.00,0.00,0.00,0.00,88.78
01193.01  Baking powder,0.01,0.01,0.00,0.03,39.88
01193.02  Yeast,0.05,0.05,0.02,0.17,127.02
01193.04  Cake essences,0.00,0.00,0.00,0.01,40.31
"01193.05  Custards, puddings, jelly & gelatine",0.16,0.16,0.00,0.54,9.43
01193.06  Ready-made soup,0.24,0.24,0.01,0.15,50.77
01193.07  Powdered soup,1.31,1.31,0.14,3.56,57.22
01194.01  Ready-made frozen food,0.03,0.03,0.00,0.07,20.00
01195.99  Other foods (specify),6.71,6.71,0.14,29.72,4.29
01211.01  Coffee,1.51,1.51,0.23,5.37,67.18
01212.01  Tea,43.71,43.71,0.21,0.35,312.50
01213.01  Chocolate drinks,0.03,0.03,0.00,0.13,7.59
01219.99  Other infusions (specify),0.80,0.80,0.03,0.01,2500.00
01221.01  Mineral water & ice cubes blocks,0.15,0.15,0.00,0.00,
01222.01  Soft drinks,35.79,35.79,0.48,14.78,33.76
"01222.99  Other non-alcoholic drinks (Energade, Powerade) (specify)",0.05,0.05,0.00,0.02,72.63
01223.01  Fruit juice & squashes,14.28,14.28,0.28,6.23,45.96
01223.02  Mageu/Oshikundu,18.07,18.07,0.13,8.80,8.14
01223.99  Other powdered drinks (specify),0.07,0.07,0.00,0.03,43.60
02111.01  Brandies,0.12,0.12,0.02,0.49,36.66
"02111.04  Local home-made distilled drinks, all types (ombike, kashipembe)",0.15,0.15,0.02,0.05,360.24
02111.06  Whiskies,0.04,0.04,0.66,49.79,13.03
02121.01  Wines,1.31,1.31,0.09,0.47,130.35
02129.99  Other alcoholic beverages (specify),0.01,0.01,0.00,0.05,5.83
02131.01  Beer/ Ales/ Ciders,9.07,9.07,0.11,3.37,50.82
"02131.99  Local home-made brew, all types (tombo, epwaka, shafuluka)",0.34,0.34,0.00,0.11,16.41
,,,,,
Erongo,,,,,
01111.01  Rice,26.32,26.32,2.31,91.86,3.40
01111.02  Malt/ Mealie Rice,0.04,0.04,0.20,0.15,1301.75
"01112.01  Bread (white, brown, whole wheat, rye, maize, etc.)",360.75,360.75,6.66,897.91,7.44
01112.02  Brotchen,1.03,1.03,0.13,2.72,46.95
"01112.03  Biscuits, rusks",1.03,1.03,0.03,2.73,14.99
01112.04  Vetkoek,4.08,4.08,0.03,10.79,2.52
"01112.09  Traditional bread, ash bread, oshikwiila, oshima, omungome",4.36,4.36,0.05,11.52,3.79
"01113.01  Macaroni, spaghetti, noodles",25.92,25.92,0.51,95.81,5.35
01114.01  Cakes (all types),2.41,2.41,0.17,8.10,22.78
01114.02  Pies & pizzas,0.84,0.84,0.05,4.24,11.95
01115.01  Breakfast cereals (all types),30.77,30.77,0.84,11.55,124.25
"01115.02  Baby foods, cereals",0.54,0.54,0.03,2.12,22.34
01115.03  Bread/ cake flour (all types),3.23,3.23,0.05,7.99,5.08
01115.04  Maize meal/ grain/ samp,71.93,71.93,0.97,247.80,3.36
01115.05  Mahangu meal/ grain/ samp,19.35,19.35,0.37,70.56,4.70
01115.06  Sorghum meal/ grain,0.02,0.02,0.00,0.06,21.68
01119.01  Other bread & cereals (specify),1.62,1.62,0.17,1.84,7.03
01121.01  Beef,124.00,124.00,3.96,292.15,26.61
01122.01  Pork,5.95,5.95,0.19,23.96,17.60
01123.01  Goat meat,3.99,2.95,0.13,5.22,22.96
01123.02  Mutton/ Lamb,3.80,2.85,0.28,9.40,33.52
01124.01  Chicken,40.95,40.95,1.45,55.17,25.92
01125.01  Bacon,0.57,0.57,0.04,2.29,39.72
01125.02  Ham,0.38,0.38,0.02,0.67,85.47
01125.03  Biltong,0.94,0.94,0.13,1.17,148.56
"01125.04  Smoked meat, other than bacon & ham",0.35,0.35,0.02,0.80,18.50
01125.05  Polony,3.32,3.32,0.18,8.27,20.76
"01125.06  Sausages, other than polony",6.98,6.98,0.41,15.85,27.57
"01125.07  Offals, meat waste",5.66,5.66,0.09,4.63,17.93
01125.08  Liver & kidneys,2.22,2.22,0.09,2.94,32.97
01126.01  Minced meat,4.93,4.93,0.28,8.40,34.76
01126.02  Canned meat,1.09,1.09,0.06,2.65,24.74
01127.01  Game/ Iguana,4.47,4.47,0.22,5.08,43.97
01127.03  Donkey,3.14,3.14,0.07,4.03,15.26
"01128.01  Worms (omaungu, omanghandja, omaenghowa, murere,",0.00,0.00,0.00,0.00,88.28
01129.99  Other meat (specify),2.03,2.03,0.07,6.71,9.50
01131.01  Fresh fish,20.23,11.13,0.99,11.20,82.29
01131.02  Frozen fish,15.77,11.20,1.93,14.49,159.53
01133.02  Kapenta/ Eentangu (fresh),0.02,0.01,0.00,0.01,178.23
01133.03  Dried fish,0.12,0.12,0.01,0.46,9.16
01134.01  Bottled/ Tinned fish,4.20,4.20,0.21,9.32,22.53
01139.99  Other amphibians (specify),0.05,0.05,0.00,0.04,69.72
01141.01  Fresh milk,15.69,15.69,0.30,10.12,31.01
01141.02  Long life milk,0.72,0.72,0.01,0.46,40.14
01141.99  Other dairy products (specify),0.38,0.38,0.01,0.33,29.35
01142.01  Fresh milk - Low fat,0.05,0.05,0.00,0.02,58.61
01142.02  Long life - Low fat,0.01,0.01,0.00,0.00,85.52
01143.02  Powdered milk,0.23,0.23,0.03,0.82,47.22
01143.03  Coffee creamer,0.09,0.09,0.00,0.32,9.45
01143.04  Baby milk powdered,1.35,1.35,0.04,7.01,7.94
01144.01  Clotted/ Cultured milk,6.59,6.59,0.18,5.02,36.71
01144.02  Yoghurt,1.49,1.49,0.05,1.08,43.50
01144.03  Traditional sour milk,9.40,9.40,0.12,4.48,42.02
"01145.01  Cheese, all types",2.26,2.26,0.20,8.31,27.18
01146.01  Cream,0.05,0.05,0.00,0.08,51.18
01147.01  Eggs,6.83,6.83,0.27,9.45,27.62
01151.01  Butter,2.10,2.10,0.49,15.09,33.96
01152.01  Margarine & margarine spreads,0.14,0.14,0.01,1.04,4.93
01152.02  Peanut butter,0.21,0.21,0.01,1.19,8.83
"01152.99  Spreads, other (specify)",0.01,0.01,0.00,0.09,12.50
01154.01  Cooking oil,7.39,7.39,0.51,66.49,5.50
01154.02  Olive oil,0.04,0.04,0.00,0.32,6.63
01155.01  Cooking fats,0.04,0.04,0.00,0.38,3.11
01155.03  Komazam & sheep tail fat,0.02,0.02,0.00,0.17,6.70
01159.99  Other oils & fats (specify),0.03,0.03,0.00,0.28,7.81
"01161.01  Citrus fruits (orange, lemon, etc.)",2.48,1.81,0.03,0.81,37.00
01162.01  Bananas,2.06,1.32,0.04,1.31,26.71
01163.01  Apples,3.40,3.06,0.06,1.62,37.01
01164.01  Pears,0.19,0.19,0.00,0.11,34.33
01165.02  Avocados,0.09,0.06,0.01,0.12,24.24
01165.04  Mangoes,0.22,0.15,0.02,0.12,166.75
01165.06  Peaches,0.55,0.49,0.01,0.23,63.59
01166.03  Figs,0.00,0.00,0.00,0.00,92.86
01166.04  Grapes/ Omandjebere (fresh),0.53,0.53,0.02,0.18,138.23
"01166.06  Olives, all types",0.00,0.00,0.00,0.00,60.48
"01167.01  Sweet melons, all types",0.03,0.01,0.00,0.00,298.37
01167.02  Watermelons,0.35,0.16,0.00,0.05,50.85
01167.03  Pineapples,0.24,0.12,0.00,0.06,45.93
01168.03  Grapes/ Omandjebere (dry),0.01,0.01,0.00,0.01,106.83
01168.08  Ground nuts/ Eefukwa,0.09,0.09,0.00,0.50,3.46
01168.10  Peanuts & other snack nuts,0.05,0.05,0.00,0.29,11.53
01169.08  Mixed fruits (fresh),0.09,0.09,0.00,0.07,71.47
01169.99  Other fruits & nuts (specify),0.36,0.36,0.01,2.19,4.06
01171.01  Lettuce,0.69,0.48,0.03,0.08,293.98
01171.02  Spinach/ Ombindi/ Derere/ Mutete/ Ekaka,3.15,2.27,0.13,0.63,207.95
01171.99  Chives/ Grass onion,0.13,0.13,0.00,0.04,36.16
01172.01  Broccoli,0.09,0.09,0.01,0.03,96.66
01172.02  Cabbage,3.34,2.67,0.05,0.73,45.79
01172.03  Cauliflower,0.00,0.00,0.00,0.00,191.72
01173.02  Beans (fresh),1.08,0.90,0.03,0.36,74.21
01173.03  Cucumber,0.57,0.46,0.02,0.07,213.33
01173.04  Green pepper/ Paprika,1.08,0.89,0.03,0.23,91.95
01173.05  Chilli,0.07,0.02,0.00,0.01,1004.99
01173.06  Mealie/ Corn cob,0.44,0.44,0.01,0.42,13.55
01173.07  Peas,0.25,0.25,0.01,0.18,36.81
"01173.08  Pumpkins baby marrows & squashes, all types",2.38,0.71,0.04,0.20,150.19
01173.09  Tomatoes,7.80,7.10,0.11,1.55,69.53
01174.02  Beetroot,2.82,2.40,0.04,1.05,41.76
01174.03  Carrots,4.12,3.67,0.05,1.31,34.59
01174.06  Onion,14.13,12.86,0.17,4.69,36.13
01174.09  Mushroom,0.06,0.06,0.00,0.02,224.35
01175.01  Beans (dried),0.53,0.53,0.02,1.78,9.53
01175.03  Lentils,0.02,0.01,0.00,0.00,105.82
"01176.01  Tinned/ Pickled vegetables (e.g. cucumbers, onions, garlic, mixed)",1.66,1.66,0.04,0.16,294.85
"01177.01  Potatoes, English",26.71,22.44,0.30,17.88,14.72
01178.01  Sweet potatoes,1.12,0.94,0.02,1.08,16.48
01178.02  Chips & crisps,2.11,2.11,0.15,6.87,16.09
01178.05  Frozen vegetables,0.25,0.25,0.01,0.14,58.51
01179.08  Mixed vegetables,1.94,1.94,0.07,0.59,117.73
01179.99  Other vegetables & tubers (specify),0.69,0.69,0.01,1.94,9.93
01181.01  Sugar,10.29,10.29,0.45,41.16,11.13
01181.03  Icing sugar,0.10,0.10,0.00,0.40,10.42
01182.01  Honey,0.01,0.01,0.00,0.03,25.21
01182.02  Jam,0.21,0.21,0.01,0.58,12.70
01183.01  Chocolate,0.86,0.86,0.25,4.78,22.56
01184.01  Sweets,0.61,0.61,0.03,2.44,4.25
01185.01  Ice cream,0.58,0.58,0.02,0.88,20.79
01186.01  Syrup,0.01,0.01,0.00,0.03,23.53
01186.99  Other sweeteners (specify),0.12,0.12,0.01,0.47,51.49
01191.01  Mayonnaise,0.70,0.70,0.02,4.89,4.00
01191.02  Tomato Sauces,0.73,0.73,0.02,0.92,18.42
01191.03  Vinegar,0.05,0.05,0.00,0.00,303.03
01191.05  Chutney,0.02,0.02,0.00,0.07,5.89
01191.06  Garlic sauce,0.05,0.04,0.00,0.06,23.28
01191.08  Salad dressings,0.26,0.26,0.01,1.00,11.79
01191.09  Soy sauce,0.05,0.05,0.00,0.03,96.17
01191.10  Worcestershire sauce,0.02,0.02,0.00,0.01,102.13
01192.01  Salt,1.03,1.03,0.13,0.00,
01192.02  Spices & condiments,0.43,0.43,0.12,1.49,102.77
01192.03  Garlic,0.03,0.03,0.00,0.03,88.78
01193.01  Baking powder,0.05,0.05,0.01,0.13,46.82
01193.02  Yeast,0.02,0.02,0.01,0.06,127.02
01193.04  Cake essences,0.00,0.00,0.00,0.01,40.31
"01193.05  Custards, puddings, jelly & gelatine",0.18,0.18,0.01,0.60,18.62
01193.06  Ready-made soup,0.43,0.43,0.02,0.26,68.98
01193.07  Powdered soup,1.79,1.79,0.24,4.87,60.58
01194.01  Ready-made frozen food,0.17,0.17,0.01,0.46,29.00
01195.99  Other foods (specify),3.40,3.40,0.09,15.04,6.37
01211.01  Coffee,1.11,1.11,0.19,3.92,67.18
01212.01  Tea,40.35,40.35,0.14,0.32,312.50
01213.01  Chocolate drinks,0.01,0.01,0.00,0.05,7.59
01219.99  Other infusions (specify),0.37,0.37,0.02,0.00,8928.57
01221.01  Mineral water & ice cubes blocks,4.52,4.52,0.04,0.00,
01222.01  Soft drinks,28.25,28.25,0.41,11.66,33.76
"01222.99  Other non-alcoholic drinks (Energade, Powerade) (specify)",0.81,0.81,0.01,0.33,39.65
01223.01  Fruit juice & squashes,17.48,17.48,0.36,7.62,46.16
01223.02  Mageu/Oshikundu,23.40,23.40,0.10,11.40,7.69
01223.99  Other powdered drinks (specify),0.54,0.54,0.01,0.24,58.85
02111.01  Brandies,0.05,0.05,0.00,0.18,20.00
"02111.04  Local home-made distilled drinks, all types (ombike, kashipembe)",0.01,0.01,0.00,0.00,156.25
02111.06  Whiskies,0.10,0.10,3.33,266.73,11.80
02121.01  Wines,1.34,1.34,0.07,0.48,130.35
02129.99  Other alcoholic beverages (specify),0.06,0.06,0.00,0.25,7.65
02131.01  Beer/ Ales/ Ciders,8.96,8.96,0.13,3.33,64.52
"02131.99  Local home-made brew, all types (tombo, epwaka, shafuluka)",0.68,0.68,0.00,0.22,16.41
"01124.02  Birds, other than chicken",0.23,0.23,0.00,0.47,1.77
"01132.01  Cray fish, all types",0.01,0.01,0.00,0.01,415.73
01143.01  Condensed milk,0.06,0.06,0.00,0.19,14.27
01155.02  Omaze ongombe,0.00,0.00,0.00,0.03,2.39
01165.05  Plums,0.00,0.00,0.00,0.00,37.03
01166.01  Strawberries,0.49,0.47,0.01,0.16,81.85
01168.13  !nara,0.00,0.00,0.00,0.00,36.91
01168.16  Cocoanuts,0.01,0.01,0.00,0.02,76.88
01168.17  Mixed nuts,0.02,0.02,0.00,0.11,22.59
01175.02  Peas (dried),0.06,0.06,0.00,0.20,8.66
01191.04  Chilli sauce,0.03,0.03,0.00,0.04,45.03
01191.07  Mustard sauce,0.02,0.02,0.00,0.01,197.10
01193.03  Bottled baby food,0.01,0.01,0.00,0.01,64.36
02111.03  White spirits,0.08,0.08,0.00,0.31,15.00
02122.01  Sparkling wines/ Champagnes,0.30,0.30,0.03,1.21,24.13
02122.99  Marunga (palm wine made traditional way),0.03,0.03,0.00,0.12,3.12
,,,,,
Hardap,,,,,
