3.5 Consumption statistics for each food item by region,,,,,
,Average quantity as purchased (g/capita/day),Average edible quantity (g/capita/day),Average food consumption in monetary value (LCU/capita/day),Average dietary energy consumption (kcal/capita/day),Median dietary energy unit value (LCU/1000 kcal)
region,,,,,
,,,,,
!Karas,,,,,
01133.03  Dried fish,0.44,0.44,0.04,1.64,9.16
01134.01  Bottled/ Tinned fish,2.18,2.18,0.11,4.83,22.53
01139.99  Other amphibians (specify),0.04,0.04,0.00,0.03,116.14
01141.01  Fresh milk,19.84,19.84,0.36,12.80,31.01
01141.02  Long life milk,0.93,0.93,0.02,0.60,40.14
01141.99  Other dairy products (specify),3.71,3.71,0.10,3.28,29.35
01142.01  Fresh milk - Low fat,0.03,0.03,0.00,0.02,217.02
01142.02  Long life - Low fat,0.02,0.02,0.00,0.01,66.86
01143.02  Powdered milk,0.15,0.15,0.02,0.53,47.22
01143.03  Coffee creamer,0.15,0.15,0.01,0.54,9.45
01143.04  Baby milk powdered,0.84,0.84,0.03,4.35,7.94
01144.01  Clotted/ Cultured milk,1.43,1.43,0.03,1.09,36.77
01144.02  Yoghurt,1.86,1.86,0.06,1.35,43.53
01144.03  Traditional sour milk,2.95,2.95,0.04,1.41,42.02
"01145.01  Cheese, all types",2.57,2.57,0.23,9.47,27.18
01146.01  Cream,0.03,0.03,0.00,0.04,51.18
01147.01  Eggs,8.47,8.47,0.33,11.71,27.62
01151.01  Butter,1.13,1.13,0.17,8.17,33.96
01152.01  Margarine & margarine spreads,0.01,0.01,0.00,0.10,4.93
01152.02  Peanut butter,0.12,0.12,0.01,0.70,8.83
"01152.99  Spreads, other (specify)",0.04,0.04,0.00,0.26,12.50
01154.01  Cooking oil,5.83,5.83,0.31,52.48,5.50
01154.02  Olive oil,0.02,0.02,0.00,0.15,6.63
01155.01  Cooking fats,0.02,0.02,0.00,0.14,3.11
01155.03  Komazam & sheep tail fat,0.00,0.00,0.00,0.04,6.70
01159.99  Other oils & fats (specify),0.05,0.05,0.00,0.41,7.81
"01161.01  Citrus fruits (orange, lemon, etc.)",3.08,2.25,0.05,1.01,37.00
01162.01  Bananas,3.45,2.21,0.06,2.19,26.71
01163.01  Apples,3.74,3.37,0.07,1.79,37.01
01164.01  Pears,0.22,0.22,0.00,0.13,34.33
01165.01  Apricots,0.02,0.02,0.00,0.01,56.49
01165.02  Avocados,0.12,0.08,0.00,0.16,24.24
01165.04  Mangoes,0.20,0.14,0.01,0.11,54.81
01165.06  Peaches,0.39,0.34,0.01,0.16,135.56
01166.04  Grapes/ Omandjebere (fresh),0.55,0.55,0.02,0.18,113.25
"01166.06  Olives, all types",0.06,0.06,0.01,0.10,60.48
"01167.01  Sweet melons, all types",0.14,0.07,0.01,0.02,297.98
01167.02  Watermelons,0.74,0.34,0.02,0.10,237.76
01167.03  Pineapples,0.05,0.03,0.00,0.01,45.93
01168.03  Grapes/ Omandjebere (dry),0.02,0.02,0.00,0.01,106.83
01168.08  Ground nuts/ Eefukwa,0.64,0.64,0.01,3.70,3.46
01168.10  Peanuts & other snack nuts,0.02,0.02,0.00,0.14,12.27
01168.22  Dried dates,0.00,0.00,0.00,0.01,11.58
01169.08  Mixed fruits (fresh),1.68,1.68,0.05,1.26,71.47
01169.99  Other fruits & nuts (specify),0.19,0.19,0.01,1.19,4.06
01171.01  Lettuce,0.64,0.45,0.02,0.08,270.73
01171.02  Spinach/ Ombindi/ Derere/ Mutete/ Ekaka,2.96,2.13,0.12,0.59,207.95
01171.99  Chives/ Grass onion,0.15,0.15,0.00,0.05,36.16
01172.01  Broccoli,0.14,0.14,0.01,0.05,263.34
01172.02  Cabbage,3.14,2.51,0.04,0.69,45.79
01172.03  Cauliflower,0.11,0.11,0.01,0.03,191.72
01173.02  Beans (fresh),0.95,0.79,0.03,0.31,74.21
01173.03  Cucumber,0.79,0.64,0.02,0.10,213.33
01173.04  Green pepper/ Paprika,0.96,0.80,0.02,0.21,91.95
01173.05  Chilli,0.31,0.08,0.01,0.04,164.16
01173.06  Mealie/ Corn cob,0.78,0.78,0.01,0.73,13.58
01173.07  Peas,0.03,0.03,0.00,0.02,36.81
"01173.08  Pumpkins baby marrows & squashes, all types",2.32,0.70,0.03,0.20,150.19
01173.09  Tomatoes,9.78,8.90,0.14,1.94,69.53
01174.02  Beetroot,0.76,0.65,0.01,0.28,89.63
01174.03  Carrots,5.50,4.89,0.08,1.75,41.14
01174.06  Onion,9.84,8.96,0.12,3.27,36.13
01174.09  Mushroom,0.17,0.17,0.01,0.06,224.35
01175.01  Beans (dried),0.58,0.58,0.02,1.95,9.05
01175.03  Lentils,0.03,0.02,0.00,0.01,105.82
"01175.09  Dried vegetables, other",0.03,0.03,0.00,0.09,29.10
"01176.01  Tinned/ Pickled vegetables (e.g. cucumbers, onions, garlic, mixed)",1.61,1.61,0.04,0.16,294.85
"01177.01  Potatoes, English",19.63,16.49,0.23,13.14,14.99
01178.01  Sweet potatoes,2.09,1.75,0.04,2.01,16.48
01178.02  Chips & crisps,4.99,4.99,0.23,16.23,8.64
01178.05  Frozen vegetables,0.28,0.28,0.01,0.16,58.51
01179.08  Mixed vegetables,2.69,2.69,0.08,0.82,117.73
01179.99  Other vegetables & tubers (specify),0.58,0.58,0.01,1.63,4.79
01181.01  Sugar,6.92,6.92,0.26,27.68,9.76
01182.01  Honey,0.01,0.01,0.00,0.03,25.21
01182.02  Jam,0.11,0.11,0.00,0.30,12.70
01183.01  Chocolate,0.37,0.37,0.16,2.03,22.56
01184.01  Sweets,0.38,0.38,0.01,1.50,4.25
01185.01  Ice cream,0.59,0.59,0.02,0.89,23.98
01186.01  Syrup,0.00,0.00,0.00,0.01,23.53
01186.99  Other sweeteners (specify),0.36,0.36,0.01,1.40,9.73
01191.01  Mayonnaise,0.38,0.38,0.01,2.64,4.00
01191.02  Tomato Sauces,0.76,0.76,0.02,0.96,18.42
01191.03  Vinegar,0.02,0.02,0.00,0.00,303.03
01191.05  Chutney,0.01,0.01,0.00,0.06,5.89
01191.06  Garlic sauce,0.02,0.01,0.00,0.02,23.28
01191.08  Salad dressings,0.32,0.32,0.02,1.19,19.35
01191.09  Soy sauce,0.00,0.00,0.00,0.00,96.17
01191.10  Worcestershire sauce,0.01,0.01,0.00,0.01,102.13
01192.01  Salt,1.00,1.00,0.11,0.00,
01192.02  Spices & condiments,0.33,0.33,0.08,1.14,102.77
01192.03  Garlic,0.01,0.01,0.00,0.01,88.78
01193.02  Yeast,0.02,0.02,0.00,0.05,127.02
"01193.05  Custards, puddings, jelly & gelatine",0.20,0.20,0.01,0.67,16.11
01193.06  Ready-made soup,0.26,0.26,0.01,0.15,50.77
01193.07  Powdered soup,0.98,0.98,0.10,2.65,58.14
01194.01  Ready-made frozen food,0.08,0.08,0.01,0.21,29.00
01195.99  Other foods (specify),1.98,1.98,0.04,8.79,4.29
01211.01  Coffee,0.83,0.83,0.10,2.94,67.18
01212.01  Tea,25.64,25.64,0.12,0.21,312.50
01213.01  Chocolate drinks,0.31,0.31,0.01,1.21,7.59
01219.99  Other infusions (specify),0.55,0.55,0.02,0.00,9444.44
01221.01  Mineral water & ice cubes blocks,8.12,8.12,0.07,0.00,
01222.01  Soft drinks,24.79,24.79,0.35,10.23,33.76
"01222.99  Other non-alcoholic drinks (Energade, Powerade) (specify)",0.76,0.76,0.02,0.31,49.06
01223.01  Fruit juice & squashes,23.39,23.39,0.46,10.20,45.43
01223.02  Mageu/Oshikundu,22.18,22.18,0.09,10.80,7.17
01223.99  Other powdered drinks (specify),0.33,0.33,0.01,0.14,58.85
02111.01  Brandies,0.02,0.02,0.00,0.07,20.00
"02111.04  Local home-made distilled drinks, all types (ombike, kashipembe)",0.10,0.10,0.01,0.03,278.65
02111.06  Whiskies,0.08,0.08,8.44,676.96,12.45
02121.01  Wines,1.21,1.21,0.08,0.43,141.86
02129.99  Other alcoholic beverages (specify),0.30,0.30,0.01,1.19,5.83
02131.01  Beer/ Ales/ Ciders,10.48,10.48,0.13,3.90,64.52
"02131.99  Local home-made brew, all types (tombo, epwaka, shafuluka)",2.98,2.98,0.02,0.96,16.41
"01124.02  Birds, other than chicken",0.18,0.18,0.01,0.36,19.42
"01132.01  Cray fish, all types",0.14,0.14,0.03,0.10,348.96
01143.01  Condensed milk,0.04,0.04,0.00,0.13,14.27
01155.02  Omaze ongombe,0.01,0.01,0.00,0.07,2.39
01165.05  Plums,0.24,0.24,0.01,0.12,111.84
01166.01  Strawberries,0.04,0.04,0.00,0.01,397.58
01168.16  Cocoanuts,0.00,0.00,0.00,0.01,18.64
01191.04  Chilli sauce,0.00,0.00,0.00,0.00,45.03
01191.07  Mustard sauce,0.00,0.00,0.00,0.00,197.10
01193.03  Bottled baby food,0.00,0.00,0.00,0.00,64.36
02111.03  White spirits,0.02,0.02,0.00,0.09,15.00
01168.04  Omauni,0.03,0.02,0.00,0.01,13.86
01169.01  Tinned fruits,0.03,0.03,0.00,0.02,44.04
01115.07  Cassava flour,0.13,0.13,0.00,0.44,5.97
01127.02  Dog,0.01,0.01,0.00,0.02,15.19
"01132.02  Snails, crabs",0.01,0.01,0.00,0.01,55.08
01168.02  Oombe,0.01,0.01,0.00,0.00,113.66
01174.08  Turnip,0.01,0.01,0.00,0.01,13.47
,,,,,
Kunene,,,,,
01111.01  Rice,16.09,16.09,0.88,56.14,2.97
01111.02  Malt/ Mealie Rice,0.18,0.18,0.52,0.70,1301.75
"01112.01  Bread (white, brown, whole wheat, rye, maize, etc.)",82.93,82.93,1.93,206.42,7.44
01112.02  Brotchen,0.14,0.14,0.01,0.36,46.95
"01112.03  Biscuits, rusks",0.20,0.20,0.01,0.52,14.99
01112.04  Vetkoek,5.52,5.52,0.04,14.58,2.52
"01112.09  Traditional bread, ash bread, oshikwiila, oshima, omungome",1.41,1.41,0.01,3.74,3.79
"01113.01  Macaroni, spaghetti, noodles",12.60,12.60,0.24,46.57,4.71
01114.01  Cakes (all types),1.58,1.58,0.11,5.29,22.78
01114.02  Pies & pizzas,0.19,0.19,0.01,0.94,14.31
01115.01  Breakfast cereals (all types),1.62,1.62,0.08,0.61,175.20
01115.03  Bread/ cake flour (all types),2.66,2.66,0.04,6.59,5.08
01115.04  Maize meal/ grain/ samp,262.92,262.92,3.21,905.75,3.36
01115.05  Mahangu meal/ grain/ samp,5.59,5.59,0.11,20.40,4.70
01115.06  Sorghum meal/ grain,0.00,0.00,0.00,0.01,8.62
01121.01  Beef,34.60,34.60,1.54,81.52,26.61
01122.01  Pork,2.12,2.12,0.13,8.55,17.60
01123.01  Goat meat,16.58,12.27,0.50,21.66,22.96
01123.02  Mutton/ Lamb,1.37,1.02,0.11,3.38,33.52
01124.01  Chicken,9.72,9.72,0.34,13.09,25.92
01125.01  Bacon,0.00,0.00,0.00,0.01,39.72
01125.03  Biltong,0.11,0.11,0.02,0.14,148.56
"01125.04  Smoked meat, other than bacon & ham",0.01,0.01,0.00,0.03,44.57
01125.05  Polony,0.27,0.27,0.02,0.68,41.70
"01125.06  Sausages, other than polony",1.10,1.10,0.07,2.49,28.10
"01125.07  Offals, meat waste",0.14,0.14,0.00,0.12,17.93
01125.08  Liver & kidneys,1.16,1.16,0.05,1.54,32.97
01126.01  Minced meat,1.01,1.01,0.06,1.72,34.76
01126.02  Canned meat,0.40,0.40,0.02,0.97,24.74
01127.01  Game/ Iguana,13.45,13.45,0.65,15.28,43.97
01127.03  Donkey,5.91,5.91,0.12,7.60,15.26
"01128.01  Worms (omaungu, omanghandja, omaenghowa, murere,",0.15,0.15,0.01,0.15,88.28
01129.99  Other meat (specify),2.50,2.50,0.08,8.24,9.50
01131.01  Fresh fish,0.04,0.02,0.00,0.02,32.24
01131.02  Frozen fish,2.90,2.06,0.29,2.66,41.07
01133.01  Smoked fish,0.01,0.01,0.02,0.01,2236.47
01133.03  Dried fish,1.06,1.06,0.06,3.94,9.16
01134.01  Bottled/ Tinned fish,3.14,3.14,0.16,6.97,22.53
01141.01  Fresh milk,13.47,13.47,0.23,8.69,31.01
01141.02  Long life milk,0.32,0.32,0.01,0.21,40.14
01141.99  Other dairy products (specify),1.62,1.62,0.04,1.43,29.35
01142.01  Fresh milk - Low fat,0.01,0.01,0.00,0.00,58.61
01143.02  Powdered milk,0.05,0.05,0.01,0.19,38.85
01143.03  Coffee creamer,0.06,0.06,0.00,0.23,9.45
01143.04  Baby milk powdered,0.74,0.74,0.03,3.86,7.94
01144.01  Clotted/ Cultured milk,2.38,2.38,0.06,1.81,35.22
01144.02  Yoghurt,0.30,0.30,0.01,0.22,45.89
01144.03  Traditional sour milk,55.56,55.56,0.64,26.45,24.90
"01145.01  Cheese, all types",0.06,0.06,0.00,0.21,27.18
01146.01  Cream,0.01,0.01,0.00,0.02,51.18
01147.01  Eggs,1.33,1.33,0.05,1.85,27.62
01151.01  Butter,0.32,0.32,0.04,2.33,33.96
01152.01  Margarine & margarine spreads,0.41,0.41,0.01,2.98,4.93
01152.02  Peanut butter,0.04,0.04,0.00,0.24,8.83
"01152.99  Spreads, other (specify)",0.00,0.00,0.00,0.02,12.50
01154.01  Cooking oil,6.62,6.62,0.32,59.56,5.50
01154.02  Olive oil,0.03,0.03,0.00,0.26,6.63
01155.01  Cooking fats,0.00,0.00,0.00,0.04,3.11
01155.03  Komazam & sheep tail fat,0.01,0.01,0.00,0.12,6.70
01159.99  Other oils & fats (specify),0.01,0.01,0.00,0.08,7.81
"01161.01  Citrus fruits (orange, lemon, etc.)",0.53,0.39,0.01,0.17,61.02
01162.01  Bananas,0.48,0.31,0.01,0.31,28.49
01163.01  Apples,1.13,1.02,0.02,0.54,37.01
01164.01  Pears,0.04,0.04,0.00,0.02,42.55
01165.04  Mangoes,0.04,0.03,0.00,0.02,166.75
01165.06  Peaches,0.01,0.01,0.00,0.00,63.59
01167.02  Watermelons,0.35,0.16,0.01,0.05,237.76
01168.10  Peanuts & other snack nuts,0.01,0.01,0.00,0.06,12.27
"01168.99  Dried fruits, other",0.08,0.08,0.01,0.19,52.48
01169.99  Other fruits & nuts (specify),0.13,0.13,0.00,0.82,1.62
01171.01  Lettuce,0.10,0.07,0.00,0.01,217.32
01171.02  Spinach/ Ombindi/ Derere/ Mutete/ Ekaka,1.55,1.12,0.06,0.31,230.64
01172.01  Broccoli,0.04,0.04,0.00,0.01,263.34
01172.02  Cabbage,1.45,1.16,0.02,0.32,45.79
01173.02  Beans (fresh),0.22,0.18,0.01,0.07,74.21
01173.03  Cucumber,0.15,0.12,0.00,0.02,213.33
01173.04  Green pepper/ Paprika,0.15,0.12,0.00,0.03,91.95
01173.05  Chilli,0.00,0.00,0.00,0.00,12709.36
01173.06  Mealie/ Corn cob,1.04,1.04,0.01,0.98,16.36
01173.07  Peas,0.08,0.08,0.00,0.06,38.41
"01173.08  Pumpkins baby marrows & squashes, all types",5.68,1.70,0.07,0.49,150.19
01173.09  Tomatoes,2.35,2.14,0.04,0.47,105.96
01174.02  Beetroot,0.09,0.08,0.00,0.03,89.63
01174.03  Carrots,0.85,0.76,0.01,0.27,34.59
01174.06  Onion,3.74,3.41,0.05,1.24,36.13
01175.01  Beans (dried),1.41,1.41,0.04,4.74,9.05
"01175.09  Dried vegetables, other",0.05,0.05,0.00,0.15,12.65
"01176.01  Tinned/ Pickled vegetables (e.g. cucumbers, onions, garlic, mixed)",0.29,0.29,0.01,0.03,294.85
"01177.01  Potatoes, English",9.49,7.97,0.13,6.35,21.36
01178.01  Sweet potatoes,0.31,0.26,0.00,0.30,16.48
01178.02  Chips & crisps,0.36,0.36,0.04,1.17,16.09
01179.08  Mixed vegetables,0.54,0.54,0.02,0.17,117.73
01179.99  Other vegetables & tubers (specify),0.00,0.00,0.00,0.01,4.79
01181.01  Sugar,14.24,14.24,0.41,56.96,7.39
01182.02  Jam,0.04,0.04,0.00,0.12,12.70
01183.01  Chocolate,0.03,0.03,0.00,0.19,22.56
01184.01  Sweets,0.08,0.08,0.00,0.33,4.25
01185.01  Ice cream,0.02,0.02,0.00,0.02,18.46
01186.01  Syrup,0.00,0.00,0.00,0.01,23.53
01191.01  Mayonnaise,0.19,0.19,0.00,1.32,4.00
01191.02  Tomato Sauces,0.40,0.40,0.01,0.50,18.42
01191.03  Vinegar,0.02,0.02,0.00,0.00,303.03
01191.05  Chutney,0.01,0.01,0.00,0.03,5.89
01191.08  Salad dressings,0.21,0.21,0.01,0.81,11.79
01191.10  Worcestershire sauce,0.00,0.00,0.00,0.00,102.13
01192.01  Salt,1.14,1.14,0.10,0.00,
01192.02  Spices & condiments,0.21,0.21,0.05,0.74,102.77
01192.03  Garlic,0.02,0.02,0.00,0.02,88.78
01193.02  Yeast,0.01,0.01,0.00,0.03,127.02
"01193.05  Custards, puddings, jelly & gelatine",0.14,0.14,0.00,0.45,9.43
01193.06  Ready-made soup,0.14,0.14,0.01,0.09,14.47
01193.07  Powdered soup,1.57,1.57,0.21,4.25,60.58
01195.99  Other foods (specify),0.04,0.04,0.00,0.17,4.29
01211.01  Coffee,0.55,0.55,0.07,1.93,41.96
01212.01  Tea,15.62,15.62,0.15,0.12,8741.26
01213.01  Chocolate drinks,0.15,0.15,0.00,0.60,7.59
01219.99  Other infusions (specify),0.22,0.22,0.00,0.00,2500.00
01221.01  Mineral water & ice cubes blocks,0.20,0.20,0.00,0.00,
01222.01  Soft drinks,14.65,14.65,0.21,6.05,33.76
"01222.99  Other non-alcoholic drinks (Energade, Powerade) (specify)",3.73,3.73,0.07,1.54,39.65
01223.01  Fruit juice & squashes,4.54,4.54,0.10,1.98,48.60
01223.02  Mageu/Oshikundu,10.62,10.62,0.04,5.17,7.17
01223.99  Other powdered drinks (specify),1.90,1.90,0.04,0.83,43.60
02111.01  Brandies,0.07,0.07,0.01,0.27,36.66
02111.06  Whiskies,0.03,0.03,0.51,54.78,8.83
02121.01  Wines,0.06,0.06,0.00,0.02,130.35
02129.99  Other alcoholic beverages (specify),0.18,0.18,0.00,0.70,7.00
02131.01  Beer/ Ales/ Ciders,0.60,0.60,0.01,0.22,64.52
"02131.99  Local home-made brew, all types (tombo, epwaka, shafuluka)",2.07,2.07,0.01,0.66,16.41
01143.01  Condensed milk,0.03,0.03,0.00,0.11,14.27
01155.02  Omaze ongombe,0.01,0.01,0.00,0.06,2.39
01168.17  Mixed nuts,0.00,0.00,0.00,0.02,22.59
01175.02  Peas (dried),0.01,0.01,0.00,0.03,9.09
02122.01  Sparkling wines/ Champagnes,0.04,0.04,0.00,0.14,24.13
01169.01  Tinned fruits,0.07,0.07,0.00,0.05,44.04
01127.02  Dog,0.01,0.01,0.00,0.02,15.19
01168.02  Oombe,0.00,0.00,0.00,0.00,72.21
,,,,,
Ohangwena,,,,,
01111.01  Rice,18.12,18.12,0.24,63.25,2.97
"01112.01  Bread (white, brown, whole wheat, rye, maize, etc.)",65.67,65.67,1.21,163.46,7.44
01112.02  Brotchen,0.05,0.05,0.01,0.14,46.95
"01112.03  Biscuits, rusks",0.56,0.56,0.02,1.47,14.99
01112.04  Vetkoek,3.90,3.90,0.03,10.31,2.52
"01112.09  Traditional bread, ash bread, oshikwiila, oshima, omungome",1.84,1.84,0.02,4.85,3.79
"01113.01  Macaroni, spaghetti, noodles",8.27,8.27,0.16,30.57,6.49
01114.01  Cakes (all types),0.95,0.95,0.06,3.19,22.78
01115.01  Breakfast cereals (all types),4.31,4.31,0.16,1.62,124.25
"01115.02  Baby foods, cereals",0.19,0.19,0.02,0.74,22.34
01115.03  Bread/ cake flour (all types),0.28,0.28,0.01,0.68,20.62
01115.04  Maize meal/ grain/ samp,143.82,143.82,2.05,495.47,3.37
01115.05  Mahangu meal/ grain/ samp,164.96,164.96,3.15,601.43,4.72
01115.06  Sorghum meal/ grain,2.06,2.06,0.13,7.09,8.62
01119.01  Other bread & cereals (specify),1.14,1.14,0.01,1.29,7.03
01121.01  Beef,87.29,87.29,2.11,205.65,25.47
01122.01  Pork,3.61,3.61,0.14,14.53,15.36
01123.01  Goat meat,11.30,8.36,0.39,14.77,22.97
01123.02  Mutton/ Lamb,0.09,0.07,0.01,0.23,20.20
01124.01  Chicken,13.19,13.19,0.49,17.77,25.92
01125.03  Biltong,0.06,0.06,0.01,0.08,137.89
01125.05  Polony,0.48,0.48,0.03,1.20,21.28
"01125.06  Sausages, other than polony",0.95,0.95,0.06,2.15,26.87
"01125.07  Offals, meat waste",3.06,3.06,0.06,2.50,43.47
01125.08  Liver & kidneys,0.16,0.16,0.01,0.21,37.65
01126.01  Minced meat,0.07,0.07,0.00,0.13,29.34
01126.02  Canned meat,0.29,0.29,0.02,0.69,24.74
01127.01  Game/ Iguana,0.59,0.59,0.02,0.67,46.80
01127.03  Donkey,0.01,0.01,0.00,0.01,44.46
"01128.01  Worms (omaungu, omanghandja, omaenghowa, murere,",0.27,0.27,0.02,0.26,88.28
01129.99  Other meat (specify),0.15,0.15,0.01,0.48,25.27
01131.01  Fresh fish,1.67,0.92,0.08,0.92,109.86
01131.02  Frozen fish,13.16,9.34,0.90,12.09,41.07
01133.01  Smoked fish,0.26,0.26,0.46,0.30,2236.47
01133.02  Kapenta/ Eentangu (fresh),0.13,0.07,0.01,0.07,82.64
01133.03  Dried fish,4.05,4.05,0.34,15.02,16.73
01134.01  Bottled/ Tinned fish,2.81,2.81,0.14,6.23,22.53
01141.01  Fresh milk,1.14,1.14,0.02,0.73,31.01
01141.02  Long life milk,0.24,0.24,0.01,0.16,40.14
01141.99  Other dairy products (specify),0.13,0.13,0.00,0.12,29.35
01142.02  Long life - Low fat,0.03,0.03,0.00,0.01,66.86
01143.02  Powdered milk,0.00,0.00,0.00,0.01,41.29
01143.03  Coffee creamer,0.04,0.04,0.00,0.15,9.45
01143.04  Baby milk powdered,0.18,0.18,0.01,0.92,7.94
01144.01  Clotted/ Cultured milk,2.87,2.87,0.08,2.18,36.66
01144.02  Yoghurt,0.85,0.85,0.03,0.61,45.89
01144.03  Traditional sour milk,4.05,4.05,0.05,1.93,20.20
"01145.01  Cheese, all types",0.10,0.10,0.01,0.35,27.18
01146.01  Cream,0.04,0.04,0.00,0.06,51.18
01147.01  Eggs,0.85,0.85,0.05,1.17,27.62
01151.01  Butter,0.08,0.08,0.02,0.58,33.96
01152.01  Margarine & margarine spreads,0.01,0.01,0.00,0.07,4.93
01152.02  Peanut butter,0.02,0.02,0.00,0.12,8.83
01154.01  Cooking oil,9.12,9.11,0.44,82.03,5.50
01154.02  Olive oil,0.03,0.03,0.00,0.24,6.63
01155.01  Cooking fats,0.09,0.09,0.00,0.83,3.11
01155.03  Komazam & sheep tail fat,0.00,0.00,0.00,0.01,6.70
01159.99  Other oils & fats (specify),0.32,0.32,0.02,2.88,7.81
"01161.01  Citrus fruits (orange, lemon, etc.)",1.19,0.87,0.02,0.39,61.02
01162.01  Bananas,0.56,0.36,0.01,0.35,28.49
01163.01  Apples,1.56,1.40,0.03,0.74,46.98
01164.01  Pears,0.08,0.08,0.00,0.05,34.33
01165.04  Mangoes,0.44,0.31,0.03,0.24,166.75
01166.03  Figs,0.02,0.02,0.00,0.02,92.86
01166.04  Grapes/ Omandjebere (fresh),0.55,0.55,0.02,0.18,113.25
01166.05  Guavas,0.57,0.45,0.01,0.25,23.14
"01167.01  Sweet melons, all types",0.35,0.16,0.01,0.05,55.21
01167.02  Watermelons,4.49,2.07,0.09,0.59,181.69
01167.03  Pineapples,0.13,0.07,0.00,0.04,36.42
01168.01  Eendunga/ Munganda,0.87,0.87,0.04,5.29,5.57
01168.03  Grapes/ Omandjebere (dry),0.27,0.24,0.01,0.13,121.56
01168.08  Ground nuts/ Eefukwa,0.73,0.73,0.02,4.19,3.46
01168.10  Peanuts & other snack nuts,0.07,0.07,0.00,0.38,12.27
01169.08  Mixed fruits (fresh),0.06,0.06,0.00,0.04,33.15
01169.99  Other fruits & nuts (specify),3.52,3.52,0.06,21.67,1.78
01171.01  Lettuce,0.03,0.02,0.00,0.00,270.73
01171.02  Spinach/ Ombindi/ Derere/ Mutete/ Ekaka,23.97,17.26,0.89,4.80,161.79
01171.99  Chives/ Grass onion,0.00,0.00,0.00,0.00,65.47
01172.02  Cabbage,2.99,2.39,0.05,0.65,64.71
01173.02  Beans (fresh),5.75,4.77,0.37,1.89,196.67
01173.03  Cucumber,0.03,0.02,0.00,0.00,213.33
01173.04  Green pepper/ Paprika,0.09,0.07,0.00,0.02,249.49
01173.05  Chilli,0.31,0.09,0.01,0.04,164.16
01173.06  Mealie/ Corn cob,0.23,0.23,0.00,0.21,13.55
"01173.08  Pumpkins baby marrows & squashes, all types",9.78,2.94,0.12,0.84,150.19
01173.09  Tomatoes,4.82,4.39,0.08,0.96,114.15
01174.02  Beetroot,0.07,0.06,0.00,0.03,40.22
01174.03  Carrots,0.50,0.44,0.01,0.16,54.09
01174.06  Onion,3.73,3.39,0.05,1.24,50.46
01174.09  Mushroom,0.25,0.25,0.02,0.09,224.35
01175.01  Beans (dried),5.47,5.47,0.17,18.35,9.05
"01175.09  Dried vegetables, other",0.03,0.03,0.00,0.09,17.72
"01176.01  Tinned/ Pickled vegetables (e.g. cucumbers, onions, garlic, mixed)",0.42,0.42,0.01,0.04,294.85
"01177.01  Potatoes, English",7.52,6.32,0.11,5.04,21.36
01178.01  Sweet potatoes,1.38,1.16,0.02,1.33,16.49
01178.02  Chips & crisps,2.04,2.04,0.08,6.63,16.09
01179.08  Mixed vegetables,0.13,0.13,0.00,0.04,117.73
01179.99  Other vegetables & tubers (specify),0.82,0.82,0.01,2.31,4.79
01181.01  Sugar,5.67,5.67,0.16,22.67,7.39
01181.02  Sugar cane,0.21,0.21,0.00,0.08,47.30
01182.01  Honey,0.04,0.04,0.00,0.15,25.21
01182.02  Jam,0.08,0.08,0.00,0.21,12.70
01183.01  Chocolate,0.02,0.02,0.00,0.13,22.56
01184.01  Sweets,0.77,0.77,0.02,3.07,4.25
01185.01  Ice cream,0.03,0.03,0.00,0.04,17.19
01186.99  Other sweeteners (specify),0.01,0.01,0.00,0.02,51.49
01191.01  Mayonnaise,0.19,0.19,0.00,1.35,4.00
01191.02  Tomato Sauces,0.47,0.47,0.01,0.60,18.42
01191.03  Vinegar,0.01,0.01,0.00,0.00,303.03
01192.01  Salt,1.72,1.72,0.19,0.00,
01192.02  Spices & condiments,0.05,0.05,0.01,0.18,102.77
01192.03  Garlic,0.01,0.01,0.00,0.01,178.62
01193.01  Baking powder,0.00,0.00,0.00,0.00,39.88
"01193.05  Custards, puddings, jelly & gelatine",0.00,0.00,0.00,0.01,18.62
01193.06  Ready-made soup,0.06,0.06,0.00,0.03,14.47
01193.07  Powdered soup,0.81,0.81,0.11,2.20,60.58
01195.99  Other foods (specify),32.82,32.82,0.64,145.34,4.29
01211.01  Coffee,0.19,0.19,0.02,0.69,30.50
01212.01  Tea,8.88,8.88,0.03,0.07,312.50
01219.99  Other infusions (specify),0.08,0.08,0.00,0.00,9444.44
01221.01  Mineral water & ice cubes blocks,0.68,0.68,0.01,0.00,
01222.01  Soft drinks,18.50,18.50,0.27,7.64,33.76
"01222.99  Other non-alcoholic drinks (Energade, Powerade) (specify)",0.07,0.07,0.00,0.03,72.63
01223.01  Fruit juice & squashes,5.58,5.58,0.12,2.43,45.43
01223.02  Mageu/Oshikundu,141.23,141.23,0.50,68.78,7.17
01223.99  Other powdered drinks (specify),0.25,0.25,0.01,0.11,458.72
"02111.04  Local home-made distilled drinks, all types (ombike, kashipembe)",0.30,0.30,0.02,0.10,156.25
02111.06  Whiskies,0.05,0.05,0.80,97.97,7.51
02121.01  Wines,0.37,0.37,0.02,0.13,130.35
02129.99  Other alcoholic beverages (specify),1.88,1.88,0.04,7.51,5.83
02131.01  Beer/ Ales/ Ciders,5.52,5.52,0.10,2.06,64.52
