hhid,Total,start_date,urbrur,region,sex_of_head,age_of_head_cat,attain,apci_dec,main_language,wgt_hh,q02_58_01,q02_58_02,q02_58_04,q02_58_13,q02_58_15,q02_59_01,q02_59_02,q02_59_04,q02_59_13,q02_59_15,q02_60_01,q02_60_02,q02_60_04,q02_60_13,q02_60_15,q07_02_1,q07_02_2,q07_02_3,q07_02_4,q07_02_6,crops_possessed_1,crops_possessed_2,crops_possessed_3,crops_possessed_4,crops_possessed_6,q07_04_1,q07_04_2,q07_04_3,q07_04_4,q07_04_6,crops_given_away_1,crops_given_away_2,crops_given_away_3,crops_given_away_4,crops_given_away_6,crops_sold_1,crops_sold_2,crops_sold_3,crops_sold_4,crops_sold_6,q07_08_3
1108045A05201                          ,Total,2015-04-29,Urban,Oshana,Male,18-59,Secondary,9,Oshiwambo,5.78182957,0,1,0,0,0,,5.0,,,,,bought_using_cash,,,,0,1,0,0,0.0,,200.0,,,,,200.0,,,,,0.0,,,,,0.0,,,,0
1108045A03901                          ,Total,2015-04-29,Urban,Oshana,Male,18-59,Secondary,7,Oshiwambo,66.9377474874566,1,0,1,1,0,7.0,,2.0,3.0,,bought_using_cash,,bought_using_cash,bought_using_cash,,0,1,0,0,0.0,,900.0,,,,,900.0,,,,,0.0,,,,,0.0,,,,0
1108045A02601                          ,Total,2015-04-29,Urban,Oshana,Female,18-59,Secondary,7,Oshiwambo,41.8170137098501,1,1,1,0,0,7.0,7.0,5.0,,,bought_using_cash,bought_using_cash,bought_using_cash,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
1108045A01301                          ,Total,2015-04-29,Urban,Oshana,Female,18-59,Tertiary,7,Oshiwambo,90.35363602568908,1,1,1,0,0,7.0,7.0,7.0,,,bought_using_cash,own_production_garden__livestock,bought_using_cash,,,0,1,0,0,0.0,,300.0,,,,,300.0,,,,,0.0,,,,,0.0,,,,0
1108045B04801                          ,Total,2015-04-29,Urban,Oshana,Female,18-59,,8,Oshiwambo,39.038421267029,1,1,0,1,1,2.0,3.0,,7.0,1.0,bought_using_cash,gifts_friends__neighbours__relatives,,bought_using_cash,bought_using_cash,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0501025B00701                          ,Total,2015-04-29,Rural,Kavango West,Female,18-59,Primary,9,Rukavango,36.2593334952594,0,1,0,0,0,,2.0,,,,,gifts_friends__neighbours__relatives,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0501025A02203                          ,Total,2015-04-29,Rural,Kavango West,Male,18-59,No formal education,5,Rukavango,55.4966720319579,0,1,0,0,0,,7.0,,,,,bought_using_cash,,,,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,0
0501025A01901                          ,Total,2015-04-29,Rural,Kavango West,Male,60+,Primary,8,Other,40.0832411595069,1,1,1,1,0,7.0,7.0,1.0,7.0,,bought_using_cash,own_production_garden__livestock,bought_using_cash,bought_using_cash,,1,1,0,0,0.0,300.0,150.0,,,,200.0,2.0,,,,0.0,10.0,,,,0.0,0.0,,,,0
0501025A01402                          ,Total,2015-04-29,Rural,Kavango West,Male,18-59,No formal education,5,Rukavango,30.6186226273392,1,1,0,0,0,2.0,7.0,,,,bought_using_cash,bought_using_cash,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0501025A01103                          ,Total,2015-04-29,Rural,Kavango West,Male,60+,No formal education,6,Rukavango,41.8640892733385,0,1,0,1,0,,7.0,,6.0,,,own_production_garden__livestock,,bought_using_cash,,1,0,0,0,0.0,40.0,,,,,40.0,,,,,0.0,,,,,0.0,,,,,0
