3.1 Consumption statistics for each food item at national level,,,,,
,Average quantity as purchased (g/capita/day),Average edible quantity (g/capita/day),Average food consumption in monetary value (LCU/capita/day),Average dietary energy consumption (kcal/capita/day),Median dietary energy unit value (LCU/1000 kcal)
COICOP Code,,,,,
01173.02  Beans (fresh),3.25,3.24,0.21,1.28,163.51
01173.03  Cucumber,0.56,0.56,0.01,0.08,173.12
01173.04  Green pepper/ Paprika,0.49,0.49,0.01,0.13,76.45
01173.05  Chilli,0.29,0.29,0.01,0.13,44.65
01173.06  Mealie/ Corn cob,0.85,0.85,0.01,0.80,16.36
01173.07  Peas,0.10,0.10,0.00,0.08,36.81
"01173.08  Pumpkins baby marrows & squashes, all types",6.02,5.98,0.08,1.70,45.37
01173.09  Tomatoes,7.11,7.10,0.11,1.55,63.33
01174.02  Beetroot,0.68,0.68,0.01,0.30,35.55
01174.03  Carrots,2.23,2.23,0.03,0.80,41.10
01174.06  Onion,6.91,6.90,0.09,2.52,32.91
01174.08  Turnip,0.00,0.00,0.00,0.00,13.47
01174.09  Mushroom,0.13,0.13,0.01,0.05,224.35
01175.01  Beans (dried),3.40,3.40,0.10,11.43,9.05
01175.02  Peas (dried),0.02,0.02,0.00,0.08,8.66
01175.03  Lentils,0.02,0.02,0.00,0.00,85.88
"01175.09  Dried vegetables, other",0.18,0.18,0.01,0.51,17.72
"01176.01  Tinned/ Pickled vegetables (e.g. cucumbers, onions, garlic, mixed)",0.83,0.83,0.02,0.08,294.85
"01177.01  Potatoes, English",14.04,14.01,0.18,11.17,16.22
01178.01  Sweet potatoes,1.49,1.49,0.02,1.70,13.87
01178.02  Chips & crisps,2.36,2.36,0.13,7.67,16.09
01178.03  Cassava,0.17,0.17,0.00,0.26,3.91
01178.05  Frozen vegetables,0.14,0.14,0.00,0.08,58.51
01179.08  Mixed vegetables,1.15,1.15,0.04,0.35,117.73
01179.99  Other vegetables & tubers (specify),1.29,1.29,0.02,3.63,4.79
01181.01  Sugar,9.03,9.03,0.29,36.13,7.39
01181.02  Sugar cane,0.05,0.05,0.00,0.02,47.30
01181.03  Icing sugar,0.01,0.01,0.00,0.04,10.42
01182.01  Honey,0.01,0.01,0.00,0.03,25.21
01182.02  Jam,0.11,0.11,0.00,0.30,12.70
01183.01  Chocolate,0.77,0.77,0.09,4.25,22.56
01184.01  Sweets,0.39,0.39,0.01,1.55,4.25
01185.01  Ice cream,1.16,1.16,0.04,1.75,20.79
01186.99  Other sweeteners (specify),0.17,0.17,0.01,0.66,18.87
01191.01  Mayonnaise,0.36,0.36,0.01,2.51,4.00
01191.02  Tomato Sauces,0.55,0.55,0.01,0.70,18.42
01191.03  Vinegar,0.02,0.02,0.00,0.00,303.03
01191.08  Salad dressings,0.35,0.35,0.02,1.42,11.12
01192.01  Salt,1.32,1.32,0.14,0.00,
01192.02  Spices & condiments,0.21,0.21,0.05,0.72,102.77
01192.03  Garlic,0.02,0.02,0.00,0.02,77.34
01192.04  Ginger,0.00,0.00,0.00,0.00,73.72
01193.02  Yeast,0.01,0.01,0.00,0.04,127.02
01193.04  Cake essences,0.00,0.00,0.00,0.00,41.51
"01193.05  Custards, puddings, jelly & gelatine",0.10,0.10,0.00,0.32,9.43
01193.06  Ready-made soup,0.22,0.22,0.01,0.13,14.47
01193.07  Powdered soup,1.17,1.17,0.15,3.17,60.58
01194.01  Ready-made frozen food,0.10,0.10,0.00,0.06,130.17
01195.99  Other foods (specify),8.96,8.96,0.18,5.41,31.46
01211.01  Coffee,0.77,0.77,0.08,2.74,67.18
01212.01  Tea,20.63,20.63,0.11,0.17,312.50
01213.01  Chocolate drinks,0.14,0.14,0.00,0.00,3749.99
01219.99  Other infusions (specify),0.78,0.78,0.03,0.01,9326.99
01221.01  Mineral water & ice cubes blocks,2.38,2.38,0.02,0.00,
01222.01  Soft drinks,20.18,20.18,0.29,8.80,31.97
"01222.99  Other non-alcoholic drinks (Energade, Powerade) (specify)",4.16,4.16,0.07,1.81,37.54
01223.01  Fruit juice & squashes,13.38,13.38,0.27,5.84,45.58
01223.02  Mageu/Oshikundu,112.25,112.25,0.41,54.67,7.17
01223.99  Other powdered drinks (specify),0.37,0.37,0.01,0.16,58.85
"02111.04  Local home-made distilled drinks, all types (ombike, kashipembe)",0.29,0.29,0.03,0.09,156.25
02111.06  Whiskies,0.07,0.07,2.60,223.49,10.33
02121.01  Wines,0.60,0.60,0.04,0.21,130.35
02122.01  Sparkling wines/ Champagnes,0.05,0.05,0.00,0.02,269.66
02122.99  Marunga (palm wine made traditional way),0.32,0.32,0.00,0.12,34.92
02129.99  Other alcoholic beverages (specify),0.85,0.85,0.02,0.37,53.52
02131.01  Beer/ Ales/ Ciders,5.61,5.61,0.08,2.09,64.52
"02131.99  Local home-made brew, all types (tombo, epwaka, shafuluka)",4.95,4.95,0.03,1.58,16.41
,,,,,
,,,,,
,,,,,
Back to the table of contents,,,,,
