index,q02_59_01,q02_59_01,q02_59_02,q02_59_02,q02_59_04,q02_59_04,q02_59_13,q02_59_13,q02_59_15,q02_59_15
,group_wa11,count,group_wa11,count,group_wa11,count,group_wa11,count,group_wa11,count
1,2.8960353501512817,234,6.4929715374787005,618,2.5169404758483354,127,6.156032040083272,427,4.425190545687835,123
2,3.607862543280106,344,6.576158025408331,676,2.4195193913351454,199,6.37140051086808,563,5.328123205051618,188
3,3.945211070103774,446,6.4160018570474735,733,2.710283030653611,264,6.5200545931971945,653,5.15588235675438,259
4,4.169575006481204,496,6.314421636622871,739,2.5854287294266483,333,6.602001845180054,677,5.4872625701055435,316
5,4.2404891310764,582,6.258816800476472,829,2.8971668609701595,399,6.631728449691829,760,5.566705304975444,385
6,4.615397232499039,676,6.1263579573981355,860,2.8000010245742972,455,6.549852482340868,826,5.395269127868613,490
7,5.0790938029988055,776,5.888526684374603,908,2.82568892228276,614,6.656992607374011,924,5.748317494084193,583
8,5.258711156827893,894,5.568411747231441,990,2.9836642999536434,680,6.587006940251219,999,5.790045520384359,695
9,5.418419160668874,1044,5.211141768050623,1033,3.008956153599458,842,6.595415098557347,1110,5.87691265714562,880
10,5.549023687208797,1217,4.679708692160496,1041,2.945631735207203,995,6.446470028704854,1218,6.0425083305929475,1037
Afrikaans,5.70032516434998,666,4.915094886005527,533,2.684962537400365,544,6.396602442806513,627,6.127700548987116,590
English,5.5495556681920295,100,3.9018083376924566,77,2.9407917380528628,84,6.429985321627731,102,6.281786090803,96
German,5.80201976103233,28,5.047964012831076,21,3.0497334439007022,23,6.304572595028376,26,6.393845095633667,23
Khoisan,2.671632876487301,36,6.487373968433453,136,1.886426412036217,21,5.7534310152575605,82,4.591016571196032,34
Nama/Damara,4.521369065731505,1031,5.197640814344544,1115,2.5204487958512876,787,6.368010344869248,988,5.5581738692343885,847
Oshiwambo,4.8989233371882985,2976,6.007811305303272,3781,3.0046804736928974,2171,6.670099748803626,3880,5.809101118726974,2088
Other,5.824200702119503,129,5.319586600866889,91,2.8642338632572413,108,6.418634203929376,118,6.378279338837078,103
Other African,5.98793789440273,82,5.026213435035478,91,3.014580135781592,71,6.647606520093952,93,5.404927177792316,70
Other European,5.93216818310644,34,4.646892919663577,20,4.784201838766962,26,6.624505258012839,31,5.2980734000191525,25
Otjiherero,4.684021244619911,605,5.798412875285343,864,2.818435176843797,458,6.333276567587683,804,5.220299465954121,554
Rukavango,4.035486292177578,587,6.254699752647131,1127,2.54129291675345,311,6.309369060599815,879,5.358652655611407,360
Setswana,5.0097127370648415,23,4.460416426776183,27,2.20867048570622,18,6.413485646188555,19,5.156113207731088,14
Zambezi languages,4.452731967873492,412,6.327406486320549,544,3.110740272591469,286,6.621209360451211,508,5.050532346029896,152
