index,hh_wheat_rice_both,hh_wheat_rice_both,hh_wheat_rice_at_least_one,hh_wheat_rice_neither,hh_source_wheat_rice_not_loc_both,hh_source_wheat_rice_not_loc_at_least_one,hh_source_wheat_rice_not_loc_neither,hh_oil_yn,hh_source_oil_not_loc_yn,hh_maize_prod_cons_yn,hh_mahangu_prod_cons_yn,hh_sorghum_prod_cons_yn,maize_gap,mahangu_gap,sorghum_gap,hh_wheat_other_both,hh_wheat_other_at_least_one,hh_wheat_other_neither
,group_wa9,count,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9
3,0.2699167433472305,839,0.3666550551742592,0.3634282014785104,0.24344057390586868,0.3510205732968948,0.40553885279723667,0.7996759775335375,0.7540047734836725,0.10071004399259982,0.37903360636747735,0.10292662543929833,11.06515487912532,78.27673005366844,8.94305336631412,0.47229541309166606,0.4829232988335098,0.04478128807482435
4,0.3271139750096497,854,0.33462872007619565,0.3382573049141545,0.2793490539882541,0.3391270920494686,0.3815238539622773,0.8001156410781342,0.7511247246723782,0.07541991215197852,0.3286117668254276,0.0945516729999756,7.333150185284502,99.39778458948678,8.104095786619919,0.5007930976636159,0.4523278601324662,0.046879042203917906
5,0.36386707508983085,950,0.35150928314029156,0.2846236417698775,0.3354575559659759,0.33774801178038594,0.32679443225363813,0.828727127703326,0.7840838329315428,0.07163744683130699,0.30013190745337126,0.09096774981232883,7.469639093972903,116.90333076081626,8.886031431704806,0.5412716410275776,0.4202955868163229,0.03843277215609936
6,0.4147003037133842,1008,0.3390536113664094,0.24624608492020655,0.38147958505163737,0.32146126715628925,0.29705914779207343,0.8205168408678108,0.7762871609692916,0.07758524570533318,0.26965190851544374,0.07420510562284956,26.4560299005359,122.73974025528686,13.460131948494238,0.5902893932267275,0.3615119936139773,0.048198613159295314
7,0.4949854593963707,1101,0.29594590769050905,0.20906863291312042,0.46438869909907515,0.2964831016321557,0.2391281992687693,0.8487746601364387,0.8264077854691371,0.05897873515786332,0.2131161281562737,0.06506098826835072,68.71432555193228,146.85049003889537,9.660464756006764,0.5837011864662728,0.35577996913632726,0.06051884439739989
8,0.5210429079650819,1197,0.3181300895044881,0.1608270025304299,0.4969140254264216,0.3165701310650143,0.1865158435085641,0.8529084182252956,0.8326055776120663,0.03632619327369875,0.1797619288663801,0.06232347864246646,9.185396195587716,164.4101928806525,32.71361473259353,0.6415165354977349,0.30902078521710236,0.04946267928516278
9,0.6258809101052203,1283,0.2566538773104034,0.11746521258437637,0.5997221009469488,0.26662706188644936,0.1336508371666019,0.881932505884908,0.8625241259212868,0.03197405788837585,0.10646888875030193,0.030361354016862057,622.501784547799,184.52038858460156,28.66329850925917,0.6672791700908841,0.2997517248971127,0.03296910501200337
10,0.6701506987179658,1418,0.23085172249722638,0.09899757878480789,0.6511285952464728,0.24121775287444558,0.10765365187908169,0.8505575028841337,0.8393491169062776,0.015635961287516882,0.05469863748554612,0.01845513260316649,13.837804433372813,274.02807549620417,24.70982668326488,0.6313862384494875,0.3153390849200778,0.05327467663043487
Afrikaans,0.7313616754274277,715,0.2161559503183578,0.05248237425421455,0.6873425051594741,0.2447891193923519,0.06786837544817417,0.872189203712945,0.8600812088789551,0.0030872186425377314,0.0,0.0,14.680626929428307,0.0,0.0,0.6797551631870528,0.2911624414905201,0.029082395322427207
English,0.7069593494729675,111,0.20075560180902108,0.09228504871801141,0.7069593494729675,0.20075560180902108,0.09228504871801141,0.9374720564490494,0.9327156297916825,0.0,0.0,0.0,0.0,0.0,0.0,0.6257305376801312,0.32717791072207497,0.04709155159779377
German,0.6436749938861692,33,0.21522002373656351,0.14110498237726743,0.6085073823713306,0.2503876352514021,0.14110498237726743,0.8421536465453403,0.8337663266418234,0.012352759820608713,0.0,0.0,0.0,0.0,0.0,0.6342404172242385,0.23294520219272405,0.13281438058303754
